"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8093053","8093053","TFRC","transferrin receptor",-0.429419713186768,8.18989974583718,-4.14032810986607,0.000662522793231503,0.139801773983179,-0.24373229751938
"7913450","7913450","HSPG2","heparan sulfate proteoglycan 2",0.320417905512109,7.95082196758379,4.12276626327492,0.000688381263712271,0.142242875513582,-0.277094772411799
"8010841","8010841","FN3K","fructosamine 3 kinase",0.188967655576924,6.35134598165779,4.1185041368025,0.000694808981391116,0.142242875513582,-0.285194322152278
"8069700","8069700","N6AMT1","N-6 adenine-specific DNA methyltransferase 1",-0.240439266855158,5.76102263303503,-4.10940090754941,0.00070874102459537,0.142242875513582,-0.30249717618921
"8123446","8123446","SMOC2","SPARC related modular calcium binding 2",0.424368070142166,7.22340864064958,4.10690445620271,0.000712610709363286,0.142242875513582,-0.307243098377062
"8101043","8101043","G3BP2","G3BP stress granule assembly factor 2",-0.200401924513967,8.76087521780531,-4.07890203553717,0.000757503993666788,0.145901621035389,-0.360501124958681
"7965040","7965040","PHLDA1","pleckstrin homology like domain family A member 1",0.215624577235249,4.81355232452485,4.07541126276615,0.000763296669866144,0.145901621035389,-0.367143204402126
"8075462","8075462","SELENOM","selenoprotein M",-0.300018549240806,6.68439012622131,-4.07258550757468,0.000768018475593978,0.145901621035389,-0.372520385512964
"8045768","8045768","ARL6IP6","ADP ribosylation factor like GTPase 6 interacting protein 6",0.236916966454277,5.35902888841505,4.07113680511598,0.000770450642526597,0.145901621035389,-0.375277308517965
"7918757","7918757","LOC105378913","uncharacterized LOC105378913",0.444441323151203,5.92254666281466,4.06147829651858,0.00078686545630274,0.147123919684149,-0.393660483144887
"7973336","7973336","MMP14","matrix metallopeptidase 14",0.284093945617196,5.04445705805206,4.05542351069784,0.000797334876407169,0.147217918242629,-0.405187046460336
"8035896","8035896","TSHZ3","teashirt zinc finger homeobox 3",0.278887316189785,4.65955909549752,4.04575903480357,0.000814337364846334,0.14783110517788,-0.423589173168966
"8097435","8097435","C4orf33","chromosome 4 open reading frame 33",-0.26695712365586,4.88766870175232,-4.03983990424118,0.00082493056678182,0.14783110517788,-0.434862025626621
"8102912","8102912","TBC1D9","TBC1 domain family member 9",0.287838338840349,5.09060322529793,4.03665899389098,0.000830680504350687,0.14783110517788,-0.440920688729139
"7918753","7918753","LOC105378913","uncharacterized LOC105378913",0.577614078813877,4.59757403473273,4.02866651051396,0.000845306732096085,0.148643163568944,-0.456146024958336
"8066262","8066262","SNORA71D","small nucleolar RNA, H/ACA box 71D",0.282304361758763,10.3642824111497,4.02275633977634,0.000856288820474692,0.148802849026255,-0.467406542345317
"7942453","7942453","PLEKHB1","pleckstrin homology domain containing B1",0.23752222343738,4.54132134333915,4.01304446299522,0.000874647880517216,0.150225858640928,-0.48591378905882
"8106393","8106393","F2R","coagulation factor II thrombin receptor",0.393430627748463,4.88017557126465,4.00526119040197,0.000889646708068715,0.151045649711299,-0.500748830095445
"8046078","8046078","B3GALT1","beta-1,3-galactosyltransferase 1",-0.345287806887096,6.96161697696023,-3.98798377558799,0.000923872637671436,0.154385045954551,-0.53368905969381
"8088020","8088020","ITIH4","inter-alpha-trypsin inhibitor heavy chain 4",0.414523744751829,8.24381449383973,3.98485082913377,0.000930219287113601,0.154385045954551,-0.539663492318504
"8180403","8180403","TCAF1","TRPM8 channel associated factor 1",0.283709502197255,7.21958464121071,3.95911653320996,0.000984038165199564,0.160052215270585,-0.588752532746143
"8159373","8159373","DIPK1B","divergent protein kinase domain 1B",0.249499581688349,5.47289444706283,3.95818825507135,0.000986036936539382,0.160052215270585,-0.590523721721688
"7908650","7908650","IGFN1","immunoglobulin like and fibronectin type III domain containing 1",1.12483177984285,5.66140628393061,3.95052127131404,0.00100270229757443,0.160318765441544,-0.605153800729883
"7981290","7981290","WARS1","tryptophanyl-tRNA synthetase 1",0.219910641780388,8.17833106647274,3.94748217400729,0.00100938631007133,0.160318765441544,-0.6109535617393
"8123584","8123584","MYLK4","myosin light chain kinase family member 4",0.687102385683376,5.99241927764477,3.93355370487092,0.00104059710275118,0.163517657497209,-0.637538481678687
"7989473","7989473","C2CD4B","C2 calcium dependent domain containing 4B",-0.230961658416384,4.48056619109077,-3.9158037828575,0.00108177981190438,0.168199680017259,-0.671426531289606
"8066407","8066407","FITM2","fat storage inducing transmembrane protein 2",-0.270809580783714,6.18207957181632,-3.90472943230148,0.00110829913971934,0.169569156599125,-0.69257452494965
"7979133","7979133","NID2","nidogen 2",0.423448831203403,6.17846640993028,3.90256935111813,0.00111354736917711,0.169569156599125,-0.696699914793157
"8150881","8150881","PLAG1","PLAG1 zinc finger",-0.355097641892975,4.79736908296289,-3.89747307451691,0.00112602856847306,0.16972008147873,-0.706433465844357
"8051413","8051413","FAM98A","family with sequence similarity 98 member A",-0.214857613083931,8.09516724300921,-3.87810009819256,0.00117476925078726,0.171168363879444,-0.743440982385726
"8149574","8149574","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1",0.238856360821147,4.99345119700297,3.87580279466486,0.00118068769230768,0.171168363879444,-0.747830081518532
"8180320","8180320","TAS2R45","taste 2 receptor member 45",-0.247130309971208,5.0028332916129,-3.87557060222562,0.00118128754105855,0.171168363879444,-0.748273702599321
"7947861","7947861","SPI1","Spi-1 proto-oncogene",0.241208994212355,5.05964287174938,3.87529887195667,0.00118198992049985,0.171168363879444,-0.748792865350242
"7920422","7920422","RAB13","RAB13, member RAS oncogene family",0.264885879734376,5.65976867650078,3.85981155578719,0.00122272215436708,0.172468567960137,-0.778385536971919
"8088848","8088848","PDZRN3","PDZ domain containing ring finger 3",0.207722463562343,8.10150691378254,3.85644150146504,0.00123177033795008,0.172468567960137,-0.784825653468518
"7949046","7949046","TRPT1","tRNA phosphotransferase 1",0.215547399038906,6.94511840860187,3.85623457276829,0.00123232809858296,0.172468567960137,-0.785221098765907
"7976795","7976795","MEG3","maternally expressed 3",0.260835687354486,6.6846141348837,3.85425635861066,0.00123767302171651,0.172468567960137,-0.789001556161134
"8156783","8156783","COL15A1","collagen type XV alpha 1 chain",0.396077779113405,7.31571811319764,3.83089146729483,0.00130258828220041,0.175883745320514,-0.833658925309473
"8094501","8094501","STIM2","stromal interaction molecule 2",0.222644810951705,5.54729254583296,3.82991530344853,0.00130537342097753,0.175883745320514,-0.835524894252925
"7971015","7971015","SMAD9","SMAD family member 9",0.508906420459213,5.92653420816399,3.82843042955473,0.0013096214283442,0.175883745320514,-0.838363311167186
"8180319","8180319","TGIF1","TGFB induced factor homeobox 1",0.258046329103576,5.87324315690528,3.82836442678614,0.00130981057377676,0.175883745320514,-0.83848947993052
"7975889","7975889","VASH1","vasohibin 1",0.218373190202204,5.43155898242005,3.81502130477611,0.00134861565578655,0.179463079744352,-0.863997256591518
"7919815","7919815","CTSK","cathepsin K",0.450655979690912,6.01875459050381,3.79607152612457,0.00140571312305433,0.183888588681113,-0.900227767653762
"7904018","7904018","CTTNBP2NL","CTTNBP2 N-terminal like",0.266642889897374,5.73127500690834,3.79308325206283,0.00141493540944626,0.183888588681113,-0.905941549484452
"8152628","8152628","DERL1","derlin 1",-0.263857240717527,8.5301517599667,-3.77905134264467,0.0014590564153626,0.183888588681113,-0.932772860256761
"8122265","8122265","TNFAIP3","TNF alpha induced protein 3",0.248741437776309,5.60499160466188,3.77619847198626,0.00146819381818119,0.183888588681113,-0.938228264071253
"7902874","7902874","LRRC8C","leucine rich repeat containing 8 VRAC subunit C",0.245058386337481,6.29815654557211,3.77468262588292,0.00147307215999212,0.183888588681113,-0.941126972591772
"8122637","8122637","SASH1","SAM and SH3 domain containing 1",0.251164258190433,7.0491872810717,3.75836983856725,0.00152660774701251,0.183888588681113,-0.972322635008291
"8121569","8121569","LINC02880","long intergenic non-protein coding RNA 2880",-0.30955299958043,4.4464695729317,-3.75616975090122,0.00153397541149553,0.183888588681113,-0.976530104860776
"7913655","7913655","ID3","inhibitor of DNA binding 3, HLH protein",0.334005325044625,5.27371252314354,3.75501901526826,0.00153784315162951,0.183888588681113,-0.978730795009509
"7956038","7956038","TMEM198B","transmembrane protein 198B (pseudogene)",0.189263962080313,4.94508005852863,3.75215627802975,0.00154750745917691,0.183888588681113,-0.984205584707471
"8045795","8045795","KCNJ3","potassium inwardly rectifying channel subfamily J member 3",-0.326891023860734,4.34369673356072,-3.74533061071179,0.00157079590596714,0.183888588681113,-0.997259378332483
"8076431","8076431","CYP2D7","cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)",0.383344099812549,4.2518722320607,3.73587971750901,0.00160362080232668,0.183888588681113,-1.01533411975172
"8021984","8021984","YES1","YES proto-oncogene 1, Src family tyrosine kinase",0.246667851289187,6.20461619165024,3.73359650769738,0.00161165313717583,0.183888588681113,-1.01970077799054
"7972912","7972912","DCUN1D2","defective in cullin neddylation 1 domain containing 2",-0.234961010636598,7.60049927417611,-3.73214667087769,0.00161677452321644,0.183888588681113,-1.02247360974401
"7938951","7938951","ANO5","anoctamin 5",-0.201467698454126,9.57316252309323,-3.72970193956614,0.00162544711938015,0.183888588681113,-1.0271491999115
"8180317","8180317","TGIF1","TGFB induced factor homeobox 1",0.268679582498097,5.86516744987612,3.72803113368053,0.00163140096807251,0.183888588681113,-1.03034465056372
"8015273","8015273","KRT31","keratin 31",0.287385025153974,5.01794103776208,3.72342580789385,0.00164792490174966,0.183888588681113,-1.03915244928781
"7980859","7980859","LOC101928957","uncharacterized LOC101928957",-0.186320658215953,4.1737437305338,-3.71899785124292,0.0016639700802494,0.183888588681113,-1.04762103880554
"8097058","8097058","CEP170P1","centrosomal protein 170 pseudogene 1",0.356800618292553,4.46218756631329,3.71780389569689,0.00166832315696377,0.183888588681113,-1.04990451219281
"7971813","7971813","THSD1","thrombospondin type 1 domain containing 1",0.260541533031205,5.08038501222873,3.71724712673485,0.00167035698414049,0.183888588681113,-1.05096934830166
"7926037","7926037","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",0.506246419072184,8.73145827135703,3.7110476257132,0.0016931712025111,0.183888588681113,-1.06282605236631
"7905116","7905116","PLEKHO1","pleckstrin homology domain containing O1",0.246918748157555,6.05394049586307,3.70931927400573,0.0016995868451178,0.183888588681113,-1.06613156139452
"7980720","7980720","TTC7B","tetratricopeptide repeat domain 7B",0.247691271462293,8.06175699074848,3.70673227763198,0.0017092351685684,0.183888588681113,-1.07107923684334
"8104592","8104592","FBXL7","F-box and leucine rich repeat protein 7",0.24298577867689,5.11278372223477,3.70286660354496,0.00172375439840829,0.183888588681113,-1.07847237851985
"8012464","8012464","LOC100128288","uncharacterized LOC100128288",0.284169912706926,6.70187786176148,3.70213376725693,0.00172652073969166,0.183888588681113,-1.07987393116727
"8053737","8053737","ANKRD20A8P","ankyrin repeat domain 20 family member A8, pseudogene",0.314075249875347,4.17328161190614,3.70170662346271,0.00172813518437092,0.183888588681113,-1.08069084485938
"7925320","7925320","NID1","nidogen 1",0.377335189775436,6.81264006942173,3.70118104420238,0.00173012374697305,0.183888588681113,-1.081696015916
"8170635","8170635","ZNF275","zinc finger protein 275",-0.190878737341766,5.62018287087136,-3.69999994251996,0.0017346008600857,0.183888588681113,-1.08395487141463
"7970954","7970954","DCLK1","doublecortin like kinase 1",0.595951018081149,5.24645130182903,3.69918202028502,0.00173770807307747,0.183888588681113,-1.08551914405011
"8135069","8135069","SERPINE1","serpin family E member 1",0.286798241401085,4.4892202842438,3.6978181137411,0.00174290179509551,0.183888588681113,-1.08812760419634
"8173551","8173551","PHKA1","phosphorylase kinase regulatory subunit alpha 1",0.279146845216253,8.9215148981524,3.68445258143791,0.00179462453635489,0.188002829975164,-1.11368865577097
"8088090","8088090","RFT1","RFT1 homolog",-0.530048917297973,5.39209944633188,-3.67435487224229,0.00183471460114846,0.188550209343467,-1.13299945386359
"8013567","8013567","LYRM9","LYR motif containing 9",0.517638918359123,3.44782836019187,3.67350125048867,0.00183814434672393,0.188550209343467,-1.13463188204113
"8180264","8180264","LYRM9","LYR motif containing 9",0.517638918359123,3.44782836019187,3.67350125048867,0.00183814434672393,0.188550209343467,-1.13463188204113
"8034151","8034151","DOCK6","dedicator of cytokinesis 6",0.221503179247842,5.87002257771744,3.66593499314489,0.00186882558352482,0.190375328925828,-1.14910099737895
"8040473","8040473","RHOB","ras homolog family member B",0.215864954321178,6.72862938799385,3.64967691332882,0.00193649100304984,0.193237274099946,-1.18018982936813
"8048782","8048782","COL4A3","collagen type IV alpha 3 chain",0.257753248021345,6.32069033418008,3.64966477773795,0.00193654241243077,0.193237274099946,-1.18021303406978
"7983779","7983779","UNC13C","unc-13 homolog C",-0.365615234957271,5.67423776051944,-3.64898928150557,0.00193940612919808,0.193237274099946,-1.1815046609305
"7955078","7955078","PFKM","phosphofructokinase, muscle",0.242867084430362,10.7010266196043,3.6466751443474,0.00194924878754939,0.193237274099946,-1.18592951701507
"8074780","8074780","YPEL1","yippee like 1",0.319583794504821,6.70544859001394,3.63896631740992,0.00198239715159314,0.195046154822649,-1.20066905791521
"8161255","8161255","SHB","SH2 domain containing adaptor protein B",0.220057408231532,5.40163250160067,3.633308102305,0.00200708475586131,0.195046154822649,-1.21148724616523
"7996264","7996264","CDH5","cadherin 5",0.259121259058289,7.60740186797801,3.62745818988981,0.00203293090183094,0.195046154822649,-1.22267145483077
"8047738","8047738","NRP2","neuropilin 2",0.306581210439478,4.7397821788002,3.62561763715822,0.00204113123138368,0.195046154822649,-1.22619022303844
"8019331","8019331","MYADML2","myeloid associated differentiation marker like 2",-0.227319517607123,6.47409085349242,-3.62266256696509,0.00205436612251925,0.195046154822649,-1.2318396114681
"7952268","7952268","THY1","Thy-1 cell surface antigen",0.520277292546167,4.80908235780322,3.6202181035152,0.00206537873772892,0.195046154822649,-1.23651273281133
"8157264","8157264","SLC31A2","solute carrier family 31 member 2",0.215940145073145,5.65440804646594,3.61592615857574,0.002084856937201,0.195046154822649,-1.24471746828078
"8001163","8001163","MYLK3","myosin light chain kinase 3",-0.289402340091861,8.00008573471009,-3.61211589062316,0.00210230238471623,0.195046154822649,-1.25200112833095
"8115327","8115327","SPARC","secreted protein acidic and cysteine rich",0.50264032495747,10.1595035520626,3.60785765104701,0.00212197095148119,0.195046154822649,-1.26014080861508
"8180318","8180318","TGIF1","TGFB induced factor homeobox 1",0.255395545021199,6.04878315930107,3.60527356386617,0.0021339959267241,0.195046154822649,-1.26508015629475
"7933204","7933204","DEPP1","DEPP1 autophagy regulator",0.249583659898069,5.32781911014453,3.60196898722597,0.00214947258892454,0.195046154822649,-1.27139649057687
"8007154","8007154","FKBP10","FKBP prolyl isomerase 10",0.310923053783878,5.74080628462633,3.6014393143962,0.002151963629993,0.195046154822649,-1.27240888149254
"8047078","8047078","MFSD6","major facilitator superfamily domain containing 6",0.231334529572683,6.02907675486459,3.59950886838285,0.0021610668297497,0.195046154822649,-1.27609859379499
"8081219","8081219","ST3GAL6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6",-0.32950323765294,7.06119444580503,-3.59301988717547,0.00219194813865055,0.195046154822649,-1.28850058274333
"7915130","7915130","SF3A3","splicing factor 3a subunit 3",0.472674129183018,8.57031142091073,3.58957263214905,0.00220853200036321,0.195046154822649,-1.29508873772383
"7947332","7947332","IMMP1L","inner mitochondrial membrane peptidase subunit 1",-0.266235230157035,5.3785589042516,-3.58655743162545,0.00222313969579903,0.195046154822649,-1.30085096166602
"8074806","8074806","PPM1F","protein phosphatase, Mg2+/Mn2+ dependent 1F",0.257925684486533,5.53989313279207,3.57795284500879,0.00226535697714931,0.195046154822649,-1.31729366217296
"7973985","7973985","MIPOL1","mirror-image polydactyly 1",-0.239360921467647,5.08591482538881,-3.57545230765324,0.00227777443896724,0.195046154822649,-1.32207166025722
"8162117","8162117","GOLM1","golgi membrane protein 1",0.238071660840052,5.39519995785713,3.56476083638525,0.00233163551156228,0.195046154822649,-1.3424990026277
"7927799","7927799","REEP3","receptor accessory protein 3",0.192723525875672,5.42239768679561,3.56262573020399,0.00234254244229668,0.195046154822649,-1.34657801796541
"7984743","7984743","CD276","CD276 molecule",0.227460280105666,5.29093075470136,3.56170170067814,0.00234727845030401,0.195046154822649,-1.34834329237849
"8163149","8163149","PTPN3","protein tyrosine phosphatase non-receptor type 3",-0.219180936119511,8.03747827117764,-3.55951083138443,0.00235854558306328,0.195046154822649,-1.35252865485806
"7965873","7965873","IGF1","insulin like growth factor 1",0.394284729854057,6.46051882354579,3.55797104262183,0.00236649652143429,0.195046154822649,-1.35547013507552
"8149774","8149774","LOXL2","lysyl oxidase like 2",0.394155922892318,5.05371065500511,3.55525075820636,0.00238060831240274,0.195046154822649,-1.36066656898239
