"","ID","Description","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10946_at","10946_at","splicing factor 3a, subunit 3, 60kDa",10946,0.406868527549998,8.45768951458889,5.65677001982988,7.34463662525308e-06,0.00757494012184874,3.74544435259126
"9771_at","9771_at","Rap guanine nucleotide exchange factor (GEF) 5",9771,0.3176601604,5.43774829201111,5.60801743073409,8.30703605280406e-06,0.00757494012184874,3.63482153219438
"7837_at","7837_at","peroxidasin homolog (Drosophila)",7837,0.408860813650004,6.28904068026667,5.57120848641911,9.11748970045222e-06,0.00757494012184874,3.55114024462613
"222584_at","222584_at","family with sequence similarity 83, member B",222584,-0.612973828349995,5.80394920288889,-5.56614137951934,9.23515781659346e-06,0.00757494012184874,3.5396101803657
"340156_at","340156_at","myosin light chain kinase family, member 4",340156,0.749725505150001,5.70790840752222,5.56324713339963,9.30305624928278e-06,0.00757494012184874,3.53302327033188
"1306_at","1306_at","collagen, type XV, alpha 1",1306,0.51417747745,7.27432566757778,5.55240075985506,9.56203521442041e-06,0.00757494012184874,3.5083311142477
"159195_at","159195_at","ubiquitin specific peptidase 54",159195,-0.337575279049995,9.27109783658889,-5.54935139891948,9.63615015032182e-06,0.00757494012184874,3.50138707165186
"55790_at","55790_at","chondroitin sulfate N-acetylgalactosaminyltransferase 1",55790,0.382388584799997,4.81536711102222,5.53389792875277,1.00207816814932e-05,0.00757494012184874,3.46618240745966
"22918_at","22918_at","CD93 molecule",22918,0.343145954,7.14601296824444,5.39502782314817,1.42556932928421e-05,0.0103770887399081,3.14882452771179
"2004_at","2004_at","ELK3, ETS-domain protein (SRF accessory protein 2)",2004,0.286978014549998,5.73552630106667,5.30676985058434,1.78473877130439e-05,0.0121710823253515,2.94625717772047
"23024_at","23024_at","PDZ domain containing ring finger 3",23024,0.277387877849998,8.57244658424444,5.30432922124671,1.79587558479289e-05,0.0121710823253515,2.94064652552994
"845_at","845_at","calsequestrin 2 (cardiac muscle)",845,-0.37246470895,10.3399222719333,-5.27152133802638,1.95257175410822e-05,0.012755382852111,2.86518094791343
"3481_at","3481_at","insulin-like growth factor 2 (somatomedin A)",3481,0.6097881705,6.72248460187778,5.25979039472867,2.01189003976514e-05,0.012755382852111,2.83817711166952
"25979_at","25979_at","dehydrogenase/reductase (SDR family) member 7B",25979,-0.231159773250004,7.60183267682222,-5.18056801742226,2.46300489162333e-05,0.015127468168739,2.65554919446272
"56103_at","56103_at","protocadherin gamma subfamily B, 2",56103,-0.331752506699996,6.20058175435556,-5.144392322657,2.701676261341e-05,0.0160905288607261,2.57200998331303
"65059_at","65059_at","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1",65059,0.306881748000004,6.80350351728889,5.08885455155587,3.11425099775071e-05,0.0180022026793507,2.44359470110045
"140606_at","140606_at","selenoprotein M",140606,-0.344809911399996,6.54188993263333,-5.0466260414091,3.46995022500191e-05,0.0186411113560619,2.34582891593707
"8237_at","8237_at","ubiquitin specific peptidase 11",8237,-0.193569435299996,7.40244086257778,-5.02060897505302,3.70917521920611e-05,0.0186411113560619,2.28554520116281
"3912_at","3912_at","laminin, beta 1",3912,0.426597672699995,7.17414138305556,5.01081356830327,3.80348365570868e-05,0.0186411113560619,2.26283898313543
"124790_at","124790_at","hexamethylene bis-acetamide inducible 2",124790,0.357337707599998,6.31437524006667,5.0073565269076,3.83734016841401e-05,0.0186411113560619,2.2548241931288
"80243_at","80243_at","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",80243,0.265607552600002,6.54706780736667,5.00411696731349,3.86934184468185e-05,0.0186411113560619,2.24731304781778
"2487_at","2487_at","frizzled-related protein",2487,0.853095156099998,6.64608232683333,5.00353674596543,3.87510178338352e-05,0.0186411113560619,2.2459677067015
"57381_at","57381_at","ras homolog family member J",57381,0.3113206147,7.1091969044,5.00138789903191,3.89650889706951e-05,0.0186411113560619,2.24098509120661
"64328_at","64328_at","exportin 4",64328,-0.379481843050003,9.62006895892222,-4.99147414679963,3.99682153950821e-05,0.0186411113560619,2.21799462698244
"767_at","767_at","carbonic anhydrase VIII",767,0.29798219185,4.21747587654444,4.97872480639685,4.12965332823495e-05,0.0186411113560619,2.18842102682501
"84282_at","84282_at","ring finger protein 135",84282,0.232548439949998,5.58680147127778,4.96803495633137,4.24444325594967e-05,0.0186411113560619,2.16361849130943
"8553_at","8553_at","basic helix-loop-helix family, member e40",8553,0.304098257050001,8.68049438316667,4.9503323879169,4.44163537429237e-05,0.0186411113560619,2.1225330611363
"79772_at","79772_at","multiple C2 domains, transmembrane 1",79772,0.354706118250005,5.29895443543333,4.94350650425049,4.52010720258243e-05,0.0186411113560619,2.10668714098446
"54567_at","54567_at","delta-like 4 (Drosophila)",54567,0.385414073200001,6.10587951251111,4.92947699607484,4.68579575268415e-05,0.0186411113560619,2.07411176529121
"3909_at","3909_at","laminin, alpha 3",3909,0.283812557750002,4.51579612107778,4.92745965850305,4.71011724040535e-05,0.0186411113560619,2.0694269508554
"10160_at","10160_at","FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)",10160,0.237254643199998,6.23042101932222,4.91811870642447,4.82439776107336e-05,0.0186411113560619,2.04773236693745
"55466_at","55466_at","DnaJ (Hsp40) homolog, subfamily A, member 4",55466,-0.285027345199998,8.35211078917778,-4.905707492305,4.98056223904858e-05,0.0186411113560619,2.01890124468108
"6591_at","6591_at","snail family zinc finger 2",6591,0.313082164350007,7.03557349137778,4.90522788794647,4.98669773949826e-05,0.0186411113560619,2.01778699870633
"2771_at","2771_at","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",2771,0.239484847350004,7.58656883442222,4.89881122036894,5.06951911015701e-05,0.0186411113560619,2.00287849136569
"115265_at","115265_at","DNA-damage-inducible transcript 4-like",115265,0.435633719650001,9.47526414277778,4.89517303624203,5.1170902591365e-05,0.0186411113560619,1.99442477190572
"9708_at","9708_at","protocadherin gamma subfamily A, 8",9708,-0.455237533649999,5.55484166207778,-4.88774983492288,5.21554760871661e-05,0.0186411113560619,1.97717449202904
"6343_at","6343_at","secretin",6343,0.308295438599998,5.38672086,4.88767483814263,5.2165519720332e-05,0.0186411113560619,1.97700020079361
"125336_at","125336_at","lipoxygenase homology domains 1",125336,0.227451363650002,3.20957288958889,4.83312050382421,6.00109740133689e-05,0.0208874199370382,1.85016056579083
"408_at","408_at","arrestin, beta 1",408,0.262071179300006,6.74801652128889,4.82946522999824,6.05771311901483e-05,0.0208874199370382,1.84165820484734
"6641_at","6641_at","syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",6641,0.224180318850002,7.64345658346667,4.81770758322114,6.24348475007338e-05,0.0211568015996452,1.81430629333313
"3563_at","3563_at","interleukin 3 receptor, alpha (low affinity)",3563,0.372067722300002,4.56091372468889,4.80716260963915,6.41495302165756e-05,0.0213654571975462,1.7897716517347
"7306_at","7306_at","tyrosinase-related protein 1",7306,-0.457234597599995,4.04753737417778,-4.80069342971978,6.52247599395936e-05,0.0213654571975462,1.77471831342123
"4015_at","4015_at","lysyl oxidase",4015,0.53817497955,3.72261858796667,4.77266365761491,7.00963040024712e-05,0.0222159365149016,1.70948073700799
"84529_at","84529_at","chromosome 15 open reading frame 41",84529,0.3425013825,8.24214030552222,4.76661353992972,7.11947789943872e-05,0.0222159365149016,1.69539658515881
"406882_at","406882_at","microRNA let-7a-2",406882,0.332636891300001,2.62210751198889,4.76094126883141,7.22403206737121e-05,0.0222159365149016,1.68219115102264
"283431_at","283431_at","growth arrest-specific 2 like 3",283431,0.287534967850002,3.48596620277778,4.76039122556093,7.23425224867052e-05,0.0222159365149016,1.68091056844507
"23328_at","23328_at","SAM and SH3 domain containing 1",23328,0.265914942849999,6.95890518333333,4.73838121955683,7.65532846218942e-05,0.0227294954311764,1.62966183966332
"100033432_at","100033432_at","small nucleolar RNA, C/D box 116-21",100033432,-0.470064356799993,8.57683386686667,-4.73506266769572,7.720912876607e-05,0.0227294954311764,1.62193382767922
"80311_at","80311_at","kelch-like family member 15",80311,-0.212655804250003,5.57126756367778,-4.73367877408832,7.74842878746729e-05,0.0227294954311764,1.61871103871483
"220441_at","220441_at","ring finger protein 152",220441,0.300327329350001,5.37083013023333,4.71427363266112,8.14477080029004e-05,0.023525015248268,1.5735162562248
"27231_at","27231_at","nicotinamide riboside kinase 2",27231,0.515586619500001,8.71969270847778,4.70885579661411,8.2590111536099e-05,0.023525015248268,1.5608966588341
"168507_at","168507_at","polycystic kidney disease 1 like 1",168507,0.280818570949995,5.74314046392222,4.68238008691664,8.84078579295697e-05,0.0247625109346605,1.4992196808939
"80000_at","80000_at","growth regulation by estrogen in breast cancer-like",80000,-0.24457175675,6.32189869284444,-4.67780286220974,8.9454476257296e-05,0.0247625109346605,1.48855549126964
"55959_at","55959_at","sulfatase 2",55959,0.280122875850006,6.53991668612222,4.66111846086634,9.33756118765204e-05,0.0252715449710007,1.44968081471326
"24144_at","24144_at","tuftelin interacting protein 11",24144,0.268082237700009,6.22238204353333,4.65908550830015,9.38650037083063e-05,0.0252715449710007,1.4449437573749
"153579_at","153579_at","butyrophilin-like 9",153579,0.347473094699998,7.08879248953333,4.64789294741068,9.66057208528394e-05,0.0253756946330971,1.41886257997095
"2328_at","2328_at","flavin containing monooxygenase 3",2328,0.483522698399997,5.75845816525556,4.64697474206498,9.68340845365973e-05,0.0253756946330971,1.41672288509366
"344148_at","344148_at","NCK-associated protein 5",344148,0.28239061915,3.58050670907778,4.63960653347654,9.86862743718741e-05,0.0255207899540107,1.39955237838548
"152273_at","152273_at","FYVE, RhoGEF and PH domain containing 5",152273,0.340184588300002,4.85416533763333,4.62405484324269,0.000102712781631191,0.0256564394108857,1.36330955172164
"127294_at","127294_at","myomesin 3",127294,-0.364042913199992,8.76082206165556,-4.6233844516975,0.000102890001494144,0.0256564394108857,1.36174716699301
"729359_at","729359_at","perilipin 4",729359,-0.380266439399996,8.60283406934444,-4.61852369558978,0.000104184137531222,0.0256564394108857,1.35041878335184
"57519_at","57519_at","StAR-related lipid transfer (START) domain containing 9",57519,0.256071120549998,5.29782803195556,4.61759798833854,0.000104432438835395,0.0256564394108857,1.34826132453573
"23331_at","23331_at","tetratricopeptide repeat domain 28",23331,0.190852554849998,6.3746859393,4.60972237196439,0.000106568987274791,0.0258581095789967,1.32990608188634
"183_at","183_at","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",183,-0.205878763649999,6.8329053194,-4.60161344978394,0.000108814514576642,0.0258920608841096,1.31100660102957
"3910_at","3910_at","laminin, alpha 4",3910,0.37614801595,6.61450755004444,4.59972685976727,0.0001093436986558,0.0258920608841096,1.3066094583532
"2537_at","2537_at","interferon, alpha-inducible protein 6",2537,0.270167605000002,6.23800971036667,4.59076961899102,0.00011189150969373,0.0261635601528105,1.28573220872184
"126626_at","126626_at","GA binding protein transcription factor, beta subunit 2",126626,-0.201078468749999,6.34513075332222,-4.58641097787007,0.000113152671872845,0.0261635601528105,1.275573073751
"6507_at","6507_at","solute carrier family 1 (glial high affinity glutamate transporter), member 3",6507,-0.297505225449999,6.41999522506667,-4.55196788007933,0.000123631638791218,0.0282541421953789,1.1952908017543
"2152_at","2152_at","coagulation factor III (thromboplastin, tissue factor)",2152,0.24800684455,4.55901018703333,4.536144105523,0.000128765704963678,0.0287449245463066,1.15840732320322
"128553_at","128553_at","teashirt zinc finger homeobox 2",128553,0.291053575749998,5.36675611983333,4.53288456090997,0.000129849441965863,0.0287449245463066,1.15080972643596
"1580_at","1580_at","cytochrome P450, family 4, subfamily B, polypeptide 1",1580,-0.404064795249997,6.32635329935556,-4.52851449585108,0.000131316714740182,0.0287449245463066,1.14062368367206
"27122_at","27122_at","dickkopf WNT signaling pathway inhibitor 3",27122,0.229867291349995,5.63547694494444,4.5275896658775,0.000131629348181927,0.0287449245463066,1.13846803434904
"23194_at","23194_at","F-box and leucine-rich repeat protein 7",23194,0.274367791949997,4.99988164513333,4.51154226831544,0.000137173973011184,0.029626563357822,1.10106430305266
"5213_at","5213_at","phosphofructokinase, muscle",5213,0.191763633500003,10.9826876986667,4.49727388281703,0.000142299468475725,0.0303994973198033,1.06780824931082
"114327_at","114327_at","EF-hand domain (C-terminal) containing 1",114327,0.249698702400002,4.61176045302222,4.49041488335144,0.000144830967631,0.0306076111593514,1.05182211955381
"140576_at","140576_at","S100 calcium binding protein A16",140576,0.262051294849999,5.85619223852222,4.48404225882675,0.000147223221906269,0.030634036028692,1.03696991093899
"6624_at","6624_at","fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)",6624,0.366118725400001,5.7111417437,4.48180252647424,0.000148073339916849,0.030634036028692,1.03175001480331
"56105_at","56105_at","protocadherin gamma subfamily A, 11",56105,-0.345397358149998,5.89634211812222,-4.47380469304663,0.000151149192846062,0.0309446482937136,1.01311073655708
"55711_at","55711_at","fatty acyl CoA reductase 2",55711,0.218119269850003,4.62413940665556,4.45747975574536,0.000157626816732625,0.0315365590401821,0.975066914025314
"29842_at","29842_at","transcription factor CP2-like 1",29842,-0.181855259399999,3.85542363708889,-4.45744653040772,0.000157640278778946,0.0315365590401821,0.974989488506437
"27436_at","27436_at","echinoderm microtubule associated protein like 4",27436,0.280968934050006,5.91565140654444,4.45224960459809,0.000159760120190986,0.0315365590401821,0.962879184794145
"79589_at","79589_at","ring finger protein 128, E3 ubiquitin protein ligase",79589,-0.224220145449999,6.32461779882222,-4.44699237921844,0.000161933489571367,0.0315365590401821,0.950628729051589
"25825_at","25825_at","beta-site APP-cleaving enzyme 2",25825,0.210051783300002,5.90286627831111,4.44668056357902,0.000162063318564078,0.0315365590401821,0.949902144043964
"7991_at","7991_at","tumor suppressor candidate 3",7991,0.351726067199998,6.04119069608889,4.42836076454185,0.000169876070400839,0.0325912754693966,0.907216332606531
"54739_at","54739_at","XIAP associated factor 1",54739,0.274432315200004,7.20407035788889,4.42625027866024,0.000170799907059522,0.0325912754693966,0.9022991619959
"5315_at","5315_at","pyruvate kinase, muscle",5315,0.271918626500007,11.1034570446667,4.41992704886845,0.000173597908634386,0.032806666310579,0.88756727338964
"11067_at","11067_at","chromosome 10 open reading frame 10",11067,0.382243979949999,6.12053110153333,4.41174706694803,0.00017728540947462,0.0329026066266787,0.868510569964101
"57556_at","57556_at","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",57556,0.34716433635,5.73889156457778,4.41137766337288,0.000177453765260402,0.0329026066266787,0.867650008675239
"55504_at","55504_at","tumor necrosis factor receptor superfamily, member 19",55504,0.307198325150002,4.48459430674444,4.40599138059837,0.000179926744116118,0.033049347933254,0.855102439425322
"115207_at","115207_at","potassium channel tetramerization domain containing 12",115207,0.263292700100001,6.75828747591111,4.39283728787797,0.0001861114386325,0.0334883446742356,0.824461874991778
"8751_at","8751_at","ADAM metallopeptidase domain 15",8751,0.235813642849996,6.40406745428889,4.39237627531195,0.000186331994567105,0.0334883446742356,0.82338807823878
"135112_at","135112_at","nuclear receptor coactivator 7",135112,0.244776257099999,5.6071722483,4.38206107274585,0.000191335633000164,0.0334883446742356,0.799362992896003
"131377_at","131377_at","kelch-like family member 40",131377,-0.288369408649995,8.6569747135,-4.38130081780397,0.000191709666173034,0.0334883446742356,0.797592382119602
"5019_at","5019_at","3-oxoacid CoA transferase 1",5019,-0.4751901497,6.5313421986,-4.3792526818157,0.000192720944449033,0.0334883446742356,0.792822402084648
"1948_at","1948_at","ephrin-B2",1948,0.2745211167,5.93415945583333,4.37663943624277,0.000194018967994808,0.0334883446742356,0.786736460298911
"54538_at","54538_at","roundabout, axon guidance receptor, homolog 4 (Drosophila)",54538,0.254571861100002,6.14616206386667,4.37618819146432,0.000194243985593918,0.0334883446742356,0.785685580646377
"23452_at","23452_at","angiopoietin-like 2",23452,0.434726395950003,7.25162516826667,4.36865268350267,0.000198040287987702,0.0336224190063848,0.768137271098299
"64855_at","64855_at","family with sequence similarity 129, member B",64855,0.3462899589,5.13547284593333,4.36737918714796,0.000198689121241706,0.0336224190063848,0.765171755604738
"8322_at","8322_at","frizzled family receptor 4",8322,0.230753206700004,7.03891837,4.36451952992593,0.000200153812137327,0.0336224190063848,0.758512790380067
"5175_at","5175_at","platelet/endothelial cell adhesion molecule 1",5175,0.3631543309,7.63046185896667,4.35522568213863,0.000204988704583678,0.0341427796600645,0.736872703527581
"9211_at","9211_at","leucine-rich, glioma inactivated 1",9211,-0.547813003500001,6.39751188642222,-4.33656385359372,0.000215051026048239,0.0355177551760679,0.693427053668362
"1442_at","1442_at","chorionic somatomammotropin hormone 1 (placental lactogen)",1442,-0.3662131818,5.30518369826667,-4.32324858276457,0.000222529637802931,0.0364466458448234,0.662434703902565
"285025_at","285025_at","coiled-coil domain containing 141",285025,-0.3980279826,6.3581573078,-4.31855385429097,0.000225227718137803,0.0365836824155404,0.651508668107883
"5168_at","5168_at","ectonucleotide pyrophosphatase/phosphodiesterase 2",5168,0.331162546349998,6.16039257361111,4.30175069249213,0.000235154044665353,0.0370392161017488,0.612408628329793
"1793_at","1793_at","dedicator of cytokinesis 1",1793,0.234307381799997,6.10317658616667,4.29941285839771,0.000236569157896805,0.0370392161017488,0.606969378059382
"25903_at","25903_at","olfactomedin-like 2B",25903,0.533289440500001,5.20108976374444,4.2992863318054,0.000236645986818853,0.0370392161017488,0.606675004287696
"10217_at","10217_at","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",10217,0.315367103849994,6.70289059746667,4.29871464988394,0.000236993430524308,0.0370392161017488,0.605344949692984
"29799_at","29799_at","yippee-like 1 (Drosophila)",29799,0.364894117799999,6.62414269302222,4.29795641907436,0.000237455033520929,0.0370392161017488,0.603580894931595
"8789_at","8789_at","fructose-1,6-bisphosphatase 2",8789,0.359361370400004,9.63613860508889,4.29022041567116,0.000242216039569173,0.0374843625330121,0.585583941541118
"64420_at","64420_at","sushi domain containing 1",64420,0.282919703150001,4.08147031334444,4.28348807192877,0.000246436543731501,0.0378395611757728,0.569923666211005
"26074_at","26074_at","chromosome 20 open reading frame 26",26074,-0.556455500449998,7.17622509024444,-4.26309448563074,0.000259672682200844,0.0390532113613993,0.522496194935318
"79630_at","79630_at","chromosome 1 open reading frame 54",79630,0.248725129500001,3.77818574466667,4.26238760315892,0.000260143931379296,0.0390532113613993,0.520852559338069
"2113_at","2113_at","v-ets avian erythroblastosis virus E26 oncogene homolog 1",2113,0.273353167600008,7.09971499684444,4.26215114963592,0.000260301754774769,0.0390532113613993,0.520302764661624
"9547_at","9547_at","chemokine (C-X-C motif) ligand 14",9547,0.296132586450004,8.3809608569,4.24218663847927,0.000273976274363101,0.0407548130988147,0.473890298336622
"3339_at","3339_at","heparan sulfate proteoglycan 2",3339,0.3500199664,7.85985824583333,4.23724455866536,0.000277470094184848,0.0407548130988147,0.462403854672986
"23362_at","23362_at","pleckstrin and Sec7 domain containing 3",23362,0.235088782099997,3.92891593673333,4.23512799258343,0.000278979912399858,0.0407548130988147,0.457484837176541
"7352_at","7352_at","uncoupling protein 3 (mitochondrial, proton carrier)",7352,0.365741765500006,9.32577252935556,4.23379089313795,0.000279937914334994,0.0407548130988147,0.454377447138557
"9778_at","9778_at","KIAA0232",9778,-0.168152723100001,7.62826334508889,-4.22995874616838,0.000282701704818447,0.0408545537242776,0.445472068902218
"8835_at","8835_at","suppressor of cytokine signaling 2",8835,0.265012586799998,4.21090637916667,4.2252162631455,0.000286159594569965,0.0410524136618838,0.434452125961124
"639_at","639_at","PR domain containing 1, with ZNF domain",639,0.280911581849999,4.15499175528889,4.21729873494984,0.000292026361201979,0.0413731905759798,0.416056776251088
"58480_at","58480_at","ras homolog family member U",58480,-0.225391651950003,7.29920121813333,-4.21652540068194,0.000292605754048092,0.0413731905759798,0.414260193324345
"8436_at","8436_at","serum deprivation response",8436,0.263357858950003,6.10069070481111,4.20823371925941,0.000298890188045204,0.0419599125417174,0.394999061760747
"7060_at","7060_at","thrombospondin 4",7060,0.576432633400003,7.25518602052222,4.19785157947635,0.000306948282538754,0.0427855428724587,0.370886676065794
"400961_at","400961_at","poly(A) binding protein interacting protein 2B",400961,-0.302442570399998,9.11853918421111,-4.18191336903549,0.000319740260313788,0.0442547540577972,0.333881086980171
"4125_at","4125_at","mannosidase, alpha, class 2B, member 1",4125,0.235201678649995,5.86715404372222,4.16511393609928,0.000333796373051332,0.0454956959292299,0.294890550793116
"116441_at","116441_at","transmembrane 4 L six family member 18",116441,0.368301665949999,6.54288939204444,4.16475555948186,0.000334102811441048,0.0454956959292299,0.294058948110543
"116496_at","116496_at","family with sequence similarity 129, member A",116496,0.342909593000002,7.85716243488889,4.16295046280214,0.000335650550001951,0.0454956959292299,0.289870382390043
"23171_at","23171_at","glycerol-3-phosphate dehydrogenase 1-like",23171,-0.199163998549995,9.02605080054444,-4.15696287178625,0.000340835572476727,0.0458820708319013,0.275978029828122
"84441_at","84441_at","mastermind-like 2 (Drosophila)",84441,0.243820451800003,5.94664984048889,4.15428873391683,0.000343176861925246,0.045882979893053,0.269774180948739
"5515_at","5515_at","protein phosphatase 2, catalytic subunit, alpha isozyme",5515,-0.239244175699994,8.63690016181111,-4.13488990377584,0.000360645389440672,0.0478927330004525,0.22478252813903
"23597_at","23597_at","acyl-CoA thioesterase 9",23597,-0.243394881799993,7.43335379411111,-4.13006902345284,0.000365121600264061,0.0481617445073145,0.213604977518511
"221184_at","221184_at","copine II",221184,0.182275942850001,6.22395399116667,4.11067780744036,0.000383689475571231,0.0499992773024107,0.168659722348869
"79139_at","79139_at","derlin 1",79139,-0.319570875600002,8.46816213676667,-4.11021877738503,0.0003841401685491,0.0499992773024107,0.167596065878967
"51778_at","51778_at","myozenin 2",51778,-0.34939040365,10.1988682016333,-4.10397387810905,0.000390324008420271,0.0504699214571842,0.153126857864324
"79733_at","79733_at","E2F transcription factor 8",79733,0.315869127349998,7.2959847889,4.09234770325609,0.000402100368219439,0.051652814620816,0.126196301863953
"947_at","947_at","CD34 molecule",947,0.273852507700004,8.63722948012222,4.08782379724401,0.000406777235445544,0.0516818422858157,0.115719711435699
"622_at","622_at","3-hydroxybutyrate dehydrogenase, type 1",622,-0.387455449850006,5.42688178762222,-4.08118914220315,0.000413733822602527,0.0516818422858157,0.100357530555078
"7140_at","7140_at","troponin T type 3 (skeletal, fast)",7140,0.191766258000005,11.9160573422222,4.0783963618748,0.000416697230609062,0.0516818422858157,0.0938919147983972
"794_at","794_at","calbindin 2",794,-0.213536662699998,3.37165082186667,-4.07808521866777,0.000417028681852283,0.0516818422858157,0.0931716153887754
"4430_at","4430_at","myosin IB",4430,0.311705939899999,6.76942778893333,4.0778878565436,0.000417239060922933,0.0516818422858157,0.0927147237629056
"8821_at","8821_at","inositol polyphosphate-4-phosphatase, type II, 105kDa",8821,-0.222623835449998,7.82258753843333,-4.07707761577328,0.000418103842650081,0.0516818422858157,0.0908390520034112
"8987_at","8987_at","starch binding domain 1",8987,0.285930314699999,4.49395761345556,4.07216502062781,0.000423385256199233,0.0520075864083733,0.0794676024964671
"53353_at","53353_at","low density lipoprotein receptor-related protein 1B",53353,-0.378462172449997,4.56293828203333,-4.06967770744802,0.000426084440266267,0.052014059558964,0.0737107380936139
"9908_at","9908_at","GTPase activating protein (SH3 domain) binding protein 2",9908,-0.173717726750002,8.78962986382222,-4.06387564419749,0.000432447122353175,0.0524649119921562,0.060283640258147
"89795_at","89795_at","neuron navigator 3",89795,0.324591982000002,4.37080457741111,4.05732792835632,0.000439740514802961,0.052998902444744,0.0451338941792931
"23037_at","23037_at","PDZ domain containing 2",23037,0.270618281150004,5.63249335568889,4.05510711817639,0.000442241782890913,0.052998902444744,0.0399962203825144
"286753_at","286753_at","tumor suppressor candidate 5",286753,-0.217388857900002,4.27265951575556,-4.05209857506849,0.000445652734770614,0.0530839930253433,0.0330367699170075
"203190_at","203190_at","leucine-rich repeat LGI family, member 3",203190,-0.197288858850002,3.50124470137778,-4.03711088729955,0.000463036852648791,0.0548224476021646,-0.0016230417794425
"56106_at","56106_at","protocadherin gamma subfamily A, 10",56106,-0.299970387900003,6.87033444592222,-4.02309392095413,0.000479901371579361,0.0559837307388178,-0.0340223417582557
"58494_at","58494_at","junctional adhesion molecule 2",58494,0.338075188699999,7.20455042696667,4.02195928549842,0.000481292791466072,0.0559837307388178,-0.0366443000096961
"1281_at","1281_at","collagen, type III, alpha 1",1281,0.733919047699999,6.3468468549,4.0218796642637,0.000481390581808294,0.0559837307388178,-0.0368282878998629
"5420_at","5420_at","podocalyxin-like",5420,0.237999658200005,7.80143092136667,4.01881461246293,0.000485170034819778,0.056091363907929,-0.043910591394476
