Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Tissue
SRR13202594,RNA-Seq,50,1759246450,PRJNA682757,SAMN17006967,780574330,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635973,GSM4958196,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958196,Patient 23,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202595,RNA-Seq,50,1644487650,PRJNA682757,SAMN17006966,730714642,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635974,GSM4958197,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958197,Patient 23,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202598,RNA-Seq,50,1905298700,PRJNA682757,SAMN17006995,849545774,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635977,GSM4958200,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958200,Patient 23,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202601,OTHER,50,3898677450,PRJNA682757,SAMN17006992,1766068644,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX9635980,GSM4958203,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958203,Patient 23,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202602,OTHER,50,3891523050,PRJNA682757,SAMN17006991,1716088143,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635981,GSM4958204,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958204,Patient 23,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202605,RNA-Seq,50,2158486300,PRJNA682757,SAMN17006988,945174363,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635984,GSM4958207,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958207,Patient 25,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202607,RNA-Seq,50,2205585800,PRJNA682757,SAMN17006986,966664584,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635986,GSM4958209,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958209,Patient 25,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202608,RNA-Seq,50,2120906700,PRJNA682757,SAMN17006985,940171166,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635987,GSM4958210,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958210,Patient 25,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202609,RNA-Seq,50,2207960350,PRJNA682757,SAMN17006984,967414383,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635988,GSM4958211,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958211,Patient 25,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202611,OTHER,50,4446180250,PRJNA682757,SAMN17006982,1968164018,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635990,GSM4958213,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958213,Patient 25,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202614,OTHER,50,3772781100,PRJNA682757,SAMN17007012,1682417361,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9635993,GSM4958216,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958216,Patient 25,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202617,RNA-Seq,65,3080067705,PRJNA682757,SAMN17007009,1340863098,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9635996,GSM4958219,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958219,Patient 26,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202620,RNA-Seq,65,2669147455,PRJNA682757,SAMN17007006,1158317570,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635999,GSM4958222,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958222,Patient 26,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202621,RNA-Seq,65,3142094540,PRJNA682757,SAMN17007005,1360650810,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9636000,GSM4958223,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958223,Patient 26,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202623,OTHER,65,5132894130,PRJNA682757,SAMN17007004,2236961367,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9636002,GSM4958225,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958225,Patient 26,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202624,OTHER,65,5688053670,PRJNA682757,SAMN17007003,2492116252,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9636003,GSM4958226,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958226,Patient 26,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202626,OTHER,65,5399713345,PRJNA682757,SAMN17007001,2437051151,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9636005,GSM4958228,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958228,Patient 26,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202627,OTHER,65,5857692165,PRJNA682757,SAMN17007000,2612020191,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9636006,GSM4958229,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958229,Patient 26,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202630,OTHER,65,592415655,PRJNA682757,SAMN17006965,272518252,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635912,GSM4958135,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958135,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202631,OTHER,65,603811455,PRJNA682757,SAMN17006965,274641745,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635912,GSM4958135,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958135,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202632,OTHER,65,603915065,PRJNA682757,SAMN17006965,269669793,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX9635912,GSM4958135,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958135,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202636,OTHER,65,785728970,PRJNA682757,SAMN17006964,352795705,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635913,GSM4958136,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958136,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202637,OTHER,65,660416705,PRJNA682757,SAMN17006963,302946857,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635914,GSM4958137,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958137,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202640,OTHER,65,671608210,PRJNA682757,SAMN17006963,296273604,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635914,GSM4958137,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958137,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202642,OTHER,65,513312670,PRJNA682757,SAMN17006962,234395126,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635915,GSM4958138,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958138,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202643,OTHER,65,521775800,PRJNA682757,SAMN17006962,234015391,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635915,GSM4958138,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958138,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202645,OTHER,65,600142075,PRJNA682757,SAMN17006961,277408922,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635916,GSM4958139,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958139,Patient 17,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202648,OTHER,65,608366460,PRJNA682757,SAMN17006961,269296321,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635916,GSM4958139,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958139,Patient 17,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202649,OTHER,65,685295455,PRJNA682757,SAMN17006960,316195558,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635917,GSM4958140,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958140,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202652,OTHER,65,694064345,PRJNA682757,SAMN17006960,308389232,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9635917,GSM4958140,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958140,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202653,RNA-Seq,65,624703365,PRJNA682757,SAMN17006959,284010909,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635918,GSM4958141,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958141,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202655,RNA-Seq,65,634107825,PRJNA682757,SAMN17006959,280056260,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635918,GSM4958141,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958141,Patient 17,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202657,RNA-Seq,65,513521125,PRJNA682757,SAMN17006958,234190879,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635919,GSM4958142,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958142,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202658,RNA-Seq,65,510664830,PRJNA682757,SAMN17006958,230558422,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9635919,GSM4958142,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958142,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202660,RNA-Seq,65,520367835,PRJNA682757,SAMN17006958,227286598,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635919,GSM4958142,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958142,Patient 17,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202661,RNA-Seq,65,438655295,PRJNA682757,SAMN17006957,200912743,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9635920,GSM4958143,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958143,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202664,RNA-Seq,65,445105765,PRJNA682757,SAMN17006957,195221521,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635920,GSM4958143,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958143,Patient 17,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202666,RNA-Seq,65,633996805,PRJNA682757,SAMN17006956,289466062,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635921,GSM4958144,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958144,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202668,RNA-Seq,65,645933080,PRJNA682757,SAMN17006956,285142408,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9635921,GSM4958144,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958144,Patient 17,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202670,RNA-Seq,65,546892385,PRJNA682757,SAMN17006955,248043671,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635922,GSM4958145,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958145,Patient 17,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202673,RNA-Seq,65,651421355,PRJNA682757,SAMN17006954,298046885,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635923,GSM4958146,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958146,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202675,RNA-Seq,65,660595650,PRJNA682757,SAMN17006954,294623128,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX9635923,GSM4958146,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958146,Patient 17,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202678,RNA-Seq,50,1004207150,PRJNA682757,SAMN17006953,468426217,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635924,GSM4958147,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958147,Patient 18,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202682,RNA-Seq,50,1217783250,PRJNA682757,SAMN17006951,568508984,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635926,GSM4958149,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958149,Patient 18,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202683,RNA-Seq,60,1300609260,PRJNA682757,SAMN17006950,583232271,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9635927,GSM4958150,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958150,Patient 18,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202685,RNA-Seq,60,1411356300,PRJNA682757,SAMN17006949,632643989,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9635928,GSM4958151,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958151,Patient 18,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202687,RNA-Seq,60,1616620320,PRJNA682757,SAMN17006981,722953332,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9635929,GSM4958152,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958152,Patient 18,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202690,OTHER,50,1030595200,PRJNA682757,SAMN17006980,484565464,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9635930,GSM4958153,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958153,Patient 18,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202691,OTHER,60,1108951200,PRJNA682757,SAMN17006979,500063957,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635931,GSM4958154,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958154,Patient 18,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202693,OTHER,60,1145589900,PRJNA682757,SAMN17006978,523944239,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635932,GSM4958155,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958155,Patient 18,SRP296472,Pre reduced activity 180 min after Leucine,muscle biopsy
SRR13202696,OTHER,50,1246498950,PRJNA682757,SAMN17006977,592502536,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX9635933,GSM4958156,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958156,Patient 18,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202699,OTHER,60,1309033800,PRJNA682757,SAMN17006975,593653827,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635935,GSM4958158,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958158,Patient 18,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202702,RNA-Seq,65,601428295,PRJNA682757,SAMN17006974,272054686,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9635936,GSM4958159,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958159,Patient 19,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202703,RNA-Seq,65,613247375,PRJNA682757,SAMN17006974,272041684,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635936,GSM4958159,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958159,Patient 19,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
