"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209817_at","209817_at","PPP3CB","protein phosphatase 3 catalytic subunit beta","5532",0.606716246638731,10.5977839755129,6.35196214801939,2.49960718321187e-05,0.0179362934672486,2.86561785098932
"215313_x_at","215313_x_at","HLA-A","major histocompatibility complex, class I, A","3105",-0.460350357930686,15.0429979200719,-6.33911487644751,2.55098990526608e-05,0.0179362934672486,2.84731296854868
"203864_s_at","203864_s_at","ACTN2","actinin alpha 2","88",0.559232985114759,15.8938139234075,6.29518397067536,2.73527523395e-05,0.018545166086181,2.78451446545273
"200733_s_at","200733_s_at","PTP4A1","protein tyrosine phosphatase 4A1","7803",0.630352801701346,14.7326386805998,6.26865855365056,2.85329953377204e-05,0.0185748061247233,2.74644277878809
"208972_s_at","208972_s_at","ATP5MC1","ATP synthase membrane subunit c locus 1","516",0.652726010353,14.0814503679957,6.25089397374464,2.93533598683996e-05,0.0185748061247233,2.72088054354685
"209105_at","209105_at","NCOA1","nuclear receptor coactivator 1","8648",-0.460523789497822,10.5096733337522,-6.17104200715224,3.33600985062215e-05,0.0204292938723261,2.60533454854668
"208881_x_at","208881_x_at","IDI1","isopentenyl-diphosphate delta isomerase 1","3422",0.636424575748094,13.2573988447927,6.04187882573815,4.11079101706503e-05,0.0243872677087383,2.41620405351098
"213599_at","213599_at","OIP5","Opa interacting protein 5","11339",-0.734362199533967,10.9545832901752,-6.00374035305986,4.37420109100622e-05,0.0247016349133312,2.35983121224903
"201674_s_at","201674_s_at","AKAP1","A-kinase anchoring protein 1","8165",0.55718012974844,14.0413683943633,5.98694136468424,4.49580739487918e-05,0.0247016349133312,2.33492415478798
"209288_s_at","209288_s_at","CDC42EP3","CDC42 effector protein 3","10602",-0.665422162563925,11.3878485283055,-5.96609646177895,4.65166657414216e-05,0.0247016349133312,2.30395353948614
"210667_s_at","210667_s_at","GATD3A","glutamine amidotransferase like class 1 domain containing 3A","8209",0.477144792306566,12.824148143709,5.96183103850638,4.68425440834346e-05,0.0247016349133312,2.29760727136422
"220211_at","220211_at","FLJ13224","uncharacterized LOC79857","79857",1.45163774786953,7.19618696593074,5.90028283127585,5.18217527768394e-05,0.0253484010969801,2.2056986372211
"208905_at","208905_at","CYCS","cytochrome c, somatic","54205",0.473841287269128,16.5289272729919,5.88186757835532,5.34174464741149e-05,0.0253484010969801,2.17807789485066
"215483_at","215483_at","AKAP9","A-kinase anchoring protein 9","10142",-0.670777254077251,10.0361241958398,-5.87289294162026,5.42137497928694e-05,0.0253484010969801,2.16459668739394
"202217_at","202217_at","GATD3A","glutamine amidotransferase like class 1 domain containing 3A","8209",0.530833160684457,14.455960661698,5.87012313148887,5.44620226590543e-05,0.0253484010969801,2.16043334539582
"219923_at","219923_at","TRIM45","tripartite motif containing 45","80263",-0.606952754550909,11.4584278286647,-5.84655683842557,5.66233693887139e-05,0.0253484010969801,2.12495929254633
"222073_at","222073_at","COL4A3","collagen type IV alpha 3 chain","1285",-0.809021895183525,12.8895418386026,-5.8235951120847,5.88161299029987e-05,0.0253484010969801,2.09030716394238
"213359_at","213359_at","HNRNPD","heterogeneous nuclear ribonucleoprotein D","3184",-0.786316953708253,9.99731186193696,-5.80345916352363,6.08124974506669e-05,0.0253484010969801,2.05984795200732
"205738_s_at","205738_s_at","FABP3","fatty acid binding protein 3","2170",0.723259850430082,13.7357222989504,5.80321121301708,6.08375195382465e-05,0.0253484010969801,2.0594724662065
"218447_at","218447_at","CMC2","C-X9-C motif containing 2","56942",0.495463766518398,12.7849169938502,5.79249609241612,6.19292442765988e-05,0.0253484010969801,2.04323626282834
"217874_at","217874_at","SUCLG1","succinate-CoA ligase GDP/ADP-forming subunit alpha","8802",0.516050771260627,15.2419584778705,5.77249351368382,6.40226740927971e-05,0.0253484010969801,2.01287654325172
"208729_x_at","208729_x_at","HLA-B","major histocompatibility complex, class I, B","3106",-0.568707143074816,13.8585586509054,-5.75661879741096,6.57369555204364e-05,0.0253484010969801,1.9887351814057
"216526_x_at","216526_x_at","HLA-C","major histocompatibility complex, class I, C","3107",-0.465109337070931,14.784484856818,-5.748870569258,6.65911177677178e-05,0.0253484010969801,1.97693706335837
"202235_at","202235_at","SLC16A1","solute carrier family 16 member 1","6566",0.615037065036017,10.9586558218263,5.74209951416728,6.73471015154752e-05,0.0253484010969801,1.96661878987041
"208885_at","208885_at","LCP1","lymphocyte cytosolic protein 1","3936",-0.871886491204334,10.1815057103006,-5.72509448652284,6.92857170102724e-05,0.0253484010969801,1.940671944941
"202934_at","202934_at","HK2","hexokinase 2","3099",1.24559140121831,10.7806163341547,5.70046532737042,7.21980368128513e-05,0.0253484010969801,1.90300772837111
"200921_s_at","200921_s_at","BTG1","BTG anti-proliferation factor 1","694",-0.664457644934041,12.103892553484,-5.6934403880402,7.30520644733367e-05,0.0253484010969801,1.89224656947964
"207507_s_at","207507_s_at","ATP5MC3","ATP synthase membrane subunit c locus 3","518",0.513716534130516,16.3427732338335,5.68466584205421,7.41337141266774e-05,0.0253484010969801,1.87879390435586
"201490_s_at","201490_s_at","PPIF","peptidylprolyl isomerase F","10105",0.51120493761997,13.0888778745158,5.68091589170862,7.46010909787416e-05,0.0253484010969801,1.87304083017507
"212651_at","212651_at","RHOBTB1","Rho related BTB domain containing 1","9886",-0.532348526753024,14.2768620871696,-5.68047454960527,7.46563009452351e-05,0.0253484010969801,1.87236358321961
"211025_x_at","211025_x_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.416635973771941,16.0132969894944,5.6692924766228,7.60695336870761e-05,0.0253484010969801,1.85519385111599
"204824_at","204824_at","ENDOG","endonuclease G","2021",0.655800737293074,13.1399518351585,5.66203022157064,7.70023823566181e-05,0.0253484010969801,1.84403190676174
"216759_at","216759_at","PLAAT2","phospholipase A and acyltransferase 2","54979",1.06488017264784,9.1378602523713,5.65862015490199,7.74445461243599e-05,0.0253484010969801,1.83878772057132
"217988_at","217988_at","CCNB1IP1","cyclin B1 interacting protein 1","57820",0.496031250898794,12.350874197282,5.6397734569499,7.99368205713193e-05,0.0257206881648462,1.8097699108507
"203861_s_at","203861_s_at","ACTN2","actinin alpha 2","88",0.466234336395615,16.9209817648609,5.5989612122037,8.56266766707882e-05,0.0269603658715931,1.74673323771354
"202343_x_at","202343_x_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.418156080101348,16.2065591954136,5.58743699969103,8.7309114221142e-05,0.0269603658715931,1.72888424851739
"201066_at","201066_at","CYC1","cytochrome c1","1537",0.533523276628054,15.8564853961854,5.56877801650726,9.01070784963558e-05,0.0269603658715931,1.69993884653229
"203200_s_at","203200_s_at","MTRR","5-methyltetrahydrofolate-homocysteine methyltransferase reductase","4552",0.384615050861678,12.6358482057071,5.5589160896669,9.16237344380195e-05,0.0269603658715931,1.68461728341642
"203510_at","203510_at","MET","MET proto-oncogene, receptor tyrosine kinase","4233",-0.828574576936811,11.9529586232599,-5.55738515635573,9.18615649405263e-05,0.0269603658715931,1.68223739476662
"210788_s_at","210788_s_at","DHRS7","dehydrogenase/reductase 7","51635",-0.541186635515798,14.6997598365168,-5.55450619929772,9.23105658266724e-05,0.0269603658715931,1.67776092398231
"219098_at","219098_at","MYBBP1A","MYB binding protein 1a","10514",0.566180518774713,11.1976253874723,5.51768902629916,9.82598016205333e-05,0.0282277499110813,1.62039539142336
"202279_at","202279_at","ATP5MPL","ATP synthase membrane subunit 6.8PL","9556",0.468008417828969,13.8027059826983,5.49652017608793,0.000101861192899205,0.0282277499110813,1.58731221724405
"203340_s_at","203340_s_at","SLC25A12","solute carrier family 25 member 12","8604",0.387518445623519,15.0542343612194,5.49511466526784,0.000102105153729763,0.0282277499110813,1.58511308197475
"201441_at","201441_at","COX6B1","cytochrome c oxidase subunit 6B1","1340",0.421780497046727,15.6076436787101,5.49228769192982,0.000102597700372135,0.0282277499110813,1.58068888406068
"209863_s_at","209863_s_at","TP63","tumor protein p63","8626",-0.598773579269597,10.7555815159363,-5.48309555729954,0.000104216538316906,0.0282635251915449,1.5662943037797
"209140_x_at","209140_x_at","HLA-B","major histocompatibility complex, class I, B","3106",-0.516461656202168,14.7402695523596,-5.46952048098865,0.000106656381361161,0.0285178132923982,1.5450111915935
"200807_s_at","200807_s_at","HSPD1","heat shock protein family D (Hsp60) member 1","3329",0.405753631285108,14.6989727516791,5.45241112271671,0.000109816965515209,0.0286885626257625,1.51814460617816
"201141_at","201141_at","GPNMB","glycoprotein nmb","10457",-0.748758902388909,12.9396644021027,-5.44974959543282,0.000110317376300077,0.0286885626257625,1.51396100186987
"206029_at","206029_at","ANKRD1","ankyrin repeat domain 1","27063",-1.34065962254825,10.736042044946,-5.41105244048613,0.000117869110392714,0.0297001552324226,1.4530047931918
"218024_at","218024_at","MPC1","mitochondrial pyruvate carrier 1","51660",0.772637707817561,14.3467439739652,5.40785856311729,0.000118516117540543,0.0297001552324226,1.44796300166967
"206633_at","206633_at","CHRNA1","cholinergic receptor nicotinic alpha 1 subunit","1134",-1.76222514175389,11.8395565900424,-5.39799955221554,0.000120536890075458,0.0297001552324226,1.43238943229732
"203746_s_at","203746_s_at","HCCS","holocytochrome c synthase","3052",0.368815716300247,12.5402030457399,5.39231395569644,0.000121718620689509,0.0297001552324226,1.42340121511708
"205559_s_at","205559_s_at","PCSK5","proprotein convertase subtilisin/kexin type 5","5125",1.35854996420612,8.57285759508844,5.38731375113479,0.000122767919320365,0.0297001552324226,1.41549223374783
"212793_at","212793_at","DAAM2","dishevelled associated activator of morphogenesis 2","23500",0.651539242588749,12.2293651872692,5.38070842120826,0.000124168592940536,0.0297001552324226,1.4050382335892
"218920_at","218920_at","FAM193B","family with sequence similarity 193 member B","54540",-0.453917108331597,11.7023031095713,-5.37608621856674,0.000125158681973968,0.0297001552324226,1.39771869715669
"210513_s_at","210513_s_at","VEGFA","vascular endothelial growth factor A","7422",0.61919344014524,11.9894743671562,5.35009211805437,0.000130882739246114,0.0302537384952646,1.35649183953264
"218087_s_at","218087_s_at","SORBS1","sorbin and SH3 domain containing 1","10580",0.724994168737517,14.0302673318232,5.34576200944328,0.000131862568688849,0.0302537384952646,1.34961376650212
"203053_at","203053_at","BCAS2","BCAS2 pre-mRNA processing factor","10286",-0.443148069910643,13.3180106838931,-5.34396059739364,0.000132272455494467,0.0302537384952646,1.34675146923086
"211559_s_at","211559_s_at","CCNG2","cyclin G2","901",-0.930383477269789,10.3204242929567,-5.30432012917392,0.000141637745055716,0.0318007852689253,1.28363520946087
"213735_s_at","213735_s_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.424150046869563,16.5738889660954,5.30126979489007,0.000142386575424497,0.0318007852689253,1.278768064898
"200955_at","200955_at","IMMT","inner membrane mitochondrial protein","10989",0.378591147294228,14.0318492675901,5.28813388084218,0.000145658952307602,0.0321533668675292,1.25779140978611
"217972_at","217972_at","CHCHD3","coiled-coil-helix-coiled-coil-helix domain containing 3","54927",0.55698272657864,14.4158725002404,5.27276407539711,0.000149587927260346,0.0326411173690851,1.23321278130897
"213129_s_at","213129_s_at","GCSH","glycine cleavage system protein H","2653",0.354443095610213,14.1355762640757,5.26105833797837,0.000152654516123002,0.0329317424327168,1.2144685005178
"203931_s_at","203931_s_at","MRPL12","mitochondrial ribosomal protein L12","6182",0.717888728446898,12.5095053824505,5.25143284406871,0.000155225362360017,0.03311009302295,1.19903909319894
"209155_s_at","209155_s_at","NT5C2","5'-nucleotidase, cytosolic II","22978",-0.404282487906592,12.6601538494936,-5.23901169630586,0.000158609950125027,0.0334561254797058,1.17910675592738
"212894_at","212894_at","SUPV3L1","Suv3 like RNA helicase","6832",0.373750955824498,11.9759798919406,5.2181642154484,0.000164465078045342,0.033996911162942,1.14559807496956
"215051_x_at","215051_x_at","AIF1","allograft inflammatory factor 1","199",-0.568364615449009,7.6700387418199,-5.21715091145092,0.00016475536383221,0.033996911162942,1.1439676273902
"210501_x_at","210501_x_at","EIF3K","eukaryotic translation initiation factor 3 subunit K","27335",0.382525437033744,15.3419026796096,5.20698127158494,0.000167698532581739,0.0342321391670078,1.12759534931854
"222234_s_at","222234_s_at","DBNDD1","dysbindin domain containing 1","79007",-0.609358772443326,11.3160492226397,-5.19035718060512,0.000172628549933166,0.0348636211907578,1.1007970855262
"206452_x_at","206452_x_at","PTPA","protein phosphatase 2 phosphatase activator","5524",0.55878960714271,12.7136010601252,5.17622395875143,0.000176938929456376,0.0350747549073134,1.07798019393626
"202698_x_at","202698_x_at","COX4I1","cytochrome c oxidase subunit 4I1","1327",0.403659638766129,16.4423890241098,5.17178485441131,0.000178315860896654,0.0350747549073134,1.07080720966929
"200708_at","200708_at","GOT2","glutamic-oxaloacetic transaminase 2","2806",0.695401136470277,15.4400147993012,5.16308912144225,0.000181045657187991,0.0350747549073134,1.05674720790161
"200980_s_at","200980_s_at","PDHA1","pyruvate dehydrogenase E1 subunit alpha 1","5160",0.449164069329079,14.9216726735779,5.16302998888624,0.000181064368990556,0.0350747549073134,1.05665155708707
"214170_x_at","214170_x_at","FH","fumarate hydratase","2271",0.380450366894326,14.4684140341513,5.12268748776703,0.000194313226605708,0.0370880786184878,0.991268486550115
"200770_s_at","200770_s_at","LAMC1","laminin subunit gamma 1","3915",-0.494020852030708,11.5584114617745,-5.11960902750477,0.000195364931618668,0.0370880786184878,0.986268886215627
"214039_s_at","214039_s_at","LAPTM4B","lysosomal protein transmembrane 4 beta","55353",0.486990025737486,15.5644069224913,5.10388244998769,0.000200831141117684,0.0377483008215654,0.960705199461282
"217845_x_at","217845_x_at","HIGD1A","HIG1 hypoxia inducible domain family member 1A","25994",0.440583338905395,14.8515779430094,5.09123314952903,0.000205343501490795,0.0377941466998789,0.940116032251376
"45714_at","45714_at","HCFC1R1","host cell factor C1 regulator 1","54985",0.660962907116467,14.3167000042658,5.0832331883479,0.000208251819941643,0.0377941466998789,0.92708187454702
"201903_at","201903_at","UQCRC1","ubiquinol-cytochrome c reductase core protein 1","7384",0.373002646282217,15.9169620897276,5.08286672963228,0.000208386068092892,0.0377941466998789,0.926484576467165
"214211_at","214211_at","FTH1","ferritin heavy chain 1","2495",0.479713943145855,12.3232985626283,5.07476860475712,0.00021137588844123,0.0377941466998789,0.913280036887786
"215641_at","215641_at","SEC24D","SEC24 homolog D, COPII coat complex component","9871",-1.05489905789256,7.60695229108049,-5.07111333112266,0.000212740039991489,0.0377941466998789,0.907316577988722
"203621_at","203621_at","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","4711",0.42895039103569,15.1227491412069,5.06811241220331,0.000213866850635532,0.0377941466998789,0.902419149878198
"215171_s_at","215171_s_at","TIMM17A","translocase of inner mitochondrial membrane 17A","10440",0.409877241199382,13.8595461048854,5.05584352754135,0.000218538840164146,0.0377941466998789,0.882382314323563
"202825_at","202825_at","SLC25A4","solute carrier family 25 member 4","291",0.558478298652222,16.6263721464756,5.0543283499316,0.000219123161847241,0.0377941466998789,0.879906220180719
"202077_at","202077_at","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1","4706",0.409469006162109,15.9808126431082,5.05259362135067,0.000219794153922753,0.0377941466998789,0.877070907491768
"211662_s_at","211662_s_at","VDAC2","voltage dependent anion channel 2","7417",0.347478940344025,15.6900457595152,5.04953237726308,0.000220983474699039,0.0377941466998789,0.872066364105954
"208903_at","208903_at","RPS28","ribosomal protein S28","6234",0.427669654037802,10.6808805265589,5.0389384981554,0.000225151362120481,0.0381631558794216,0.854736406824927
"212319_at","212319_at","SGSM2","small G protein signaling modulator 2","9905",-1.28236923966268,10.6231304345494,-5.00948320248014,0.000237176231611939,0.0392702174478588,0.806462559560038
"1487_at","1487_at","ESRRA","estrogen related receptor alpha","2101",0.409362926948061,13.4982838767518,5.00938945727171,0.00023721555356303,0.0392702174478588,0.80630871231899
"205357_s_at","205357_s_at","AGTR1","angiotensin II receptor type 1","185",-0.483454572969848,10.9984458130821,-5.00160169548953,0.000240506025272569,0.0392702174478588,0.79352341976641
"205412_at","205412_at","ACAT1","acetyl-CoA acetyltransferase 1","38",0.525373873467501,15.7584265565373,4.99647275968087,0.000242699052245174,0.0392702174478588,0.785098169089551
"203675_at","203675_at","NUCB2","nucleobindin 2","4925",-0.483996201773765,11.1937673370133,-4.99215458916837,0.000244561572880288,0.0392702174478588,0.778001682335392
"221427_s_at","221427_s_at","CCNL2","cyclin L2","81669",-1.20984253192404,9.11731991053089,-4.99162189293711,0.00024479236647283,0.0392702174478588,0.777126054243497
"214846_s_at","214846_s_at","ALPK3","alpha kinase 3","57538",0.608003957842692,13.0673150852445,4.98846937496069,0.000246162867482891,0.0392702174478588,0.771943177847248
"209612_s_at","209612_s_at","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","125",-0.828959418551884,11.6085953127299,-4.97726104218761,0.000251100601637277,0.0397241151790173,0.753504100462796
"218678_at","218678_at","NES","nestin","10763",-1.13316326213363,12.4410661522937,-4.96650048383077,0.000255938242144767,0.0400051719601542,0.735783941340499
"210150_s_at","210150_s_at","LAMA5","laminin subunit alpha 5","3911",-0.41665436179424,10.992320220149,-4.96293606839022,0.000257562033262641,0.0400051719601542,0.729910349609639
"205633_s_at","205633_s_at","ALAS1","5'-aminolevulinate synthase 1","211",0.589246942359162,13.158613535574,4.95848498274107,0.000259604836634515,0.0400051719601542,0.722572999752237
"210512_s_at","210512_s_at","VEGFA","vascular endothelial growth factor A","7422",0.775416043912447,13.886963287305,4.95480512661727,0.000261306432946646,0.0400051719601542,0.716504741965554
"213996_at","213996_at","YPEL1","yippee like 1","29799",-0.821608242249701,10.8696209132916,-4.9459779780934,0.000265435717569879,0.0403122532987726,0.701940122384688
"209718_at","209718_at","NCAPH2","non-SMC condensin II complex subunit H2","29781",1.10870434224432,9.5976101953247,4.91777912817118,0.000279088400279159,0.0410345667184369,0.655334981887399
"204589_at","204589_at","NUAK1","NUAK family kinase 1","9891",-0.403943073173622,12.2324566670439,-4.91160618916479,0.000282173464597321,0.0410345667184369,0.645117054148721
"211755_s_at","211755_s_at","ATP5PB","ATP synthase peripheral stalk-membrane subunit b","515",0.321523777351814,15.9323484526104,4.90719432677807,0.000284400136161483,0.0410345667184369,0.637810749563179
"213836_s_at","213836_s_at","WIPI1","WD repeat domain, phosphoinositide interacting 1","55062",0.619253286496919,12.7234268814761,4.90639704185466,0.000284804474666486,0.0410345667184369,0.636490092341787
"213366_x_at","213366_x_at","ATP5F1C","ATP synthase F1 subunit gamma","509",0.347797230714527,16.1556548487981,4.898643369209,0.00028876806164496,0.0410345667184369,0.623641689011203
"202001_s_at","202001_s_at","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6","4700",0.428180512111558,15.086433989843,4.89704145164772,0.000289594077126878,0.0410345667184369,0.62098609111954
"206404_at","206404_at","FGF9","fibroblast growth factor 9","2254",0.648979130526383,10.2821430619593,4.89579849957112,0.000290236689654388,0.0410345667184369,0.618925312475716
"213932_x_at","213932_x_at","HLA-A","major histocompatibility complex, class I, A","3105",-0.46715332162765,15.093036321884,-4.89430524129218,0.000291010675311192,0.0410345667184369,0.61644923299864
"208308_s_at","208308_s_at","GPI","glucose-6-phosphate isomerase","2821",0.39329941026249,15.2288207960991,4.88806414614901,0.000294268891028311,0.0410345667184369,0.606096876105717
"213011_s_at","213011_s_at","TPI1","triosephosphate isomerase 1","7167",0.558454471846158,16.5256240096031,4.88580552881885,0.000295457359430496,0.0410345667184369,0.602349007174854
"220942_x_at","220942_x_at","FAM162A","family with sequence similarity 162 member A","26355",0.348613403670189,14.6161476393145,4.8803514070434,0.000298347925434031,0.0410345667184369,0.593295548545887
"217739_s_at","217739_s_at","NAMPT","nicotinamide phosphoribosyltransferase","10135",0.443879615877981,12.2966698760123,4.88015481640419,0.00029845266217525,0.0410345667184369,0.592969140529821
"221227_x_at","221227_x_at","COQ3","coenzyme Q3, methyltransferase","51805",0.48205431113476,12.2051814627632,4.87977308378674,0.000298656145524016,0.0410345667184369,0.592335317045174
"202156_s_at","202156_s_at","CELF2","CUGBP Elav-like family member 2","10659",-0.62498413302893,11.0925703035984,-4.87476307776415,0.000301340163645773,0.0410345667184369,0.584014796485182
"201675_at","201675_at","AKAP1","A-kinase anchoring protein 1","8165",0.545357047377083,14.6266448819938,4.86963566190223,0.0003041130878152,0.0410345667184369,0.575495483620459
"216893_s_at","216893_s_at","COL4A3","collagen type IV alpha 3 chain","1285",-0.817022489112635,9.93610015628604,-4.86841646530523,0.000304776333085736,0.0410345667184369,0.573469196823758
"208714_at","208714_at","NDUFV1","NADH:ubiquinone oxidoreductase core subunit V1","4723",0.382286319038803,14.554062126683,4.85870067031074,0.000310115839650114,0.0411440160499163,0.557313939926127
"220734_s_at","220734_s_at","CPTP","ceramide-1-phosphate transfer protein","80772",0.711741734879251,11.9528071305853,4.85815782054149,0.00031041702986986,0.0411440160499163,0.556410892921958
"218139_s_at","218139_s_at","AP5M1","adaptor related protein complex 5 subunit mu 1","55745",0.385557541884856,12.4184705131086,4.85116650346721,0.000314323351221492,0.0411440160499163,0.544776793904965
"201119_s_at","201119_s_at","COX8A","cytochrome c oxidase subunit 8A","1351",0.361122060772896,16.4214668488458,4.84828041728904,0.00031595080330407,0.0411440160499163,0.539972048807155
"218027_at","218027_at","MRPL15","mitochondrial ribosomal protein L15","29088",0.388835357087585,14.7732062696413,4.84744108153895,0.000316425745010945,0.0411440160499163,0.538574498880826
"218592_s_at","218592_s_at","HDHD5","haloacid dehalogenase like hydrolase domain containing 5","27440",0.408953580920539,12.748136287743,4.83725102823337,0.000322251440875719,0.0412949976012404,0.521599232220344
"218025_s_at","218025_s_at","ECI2","enoyl-CoA delta isomerase 2","10455",0.464893728770745,14.0775187996463,4.83407083815761,0.000324092327283073,0.0412949976012404,0.516298381715441
"205007_s_at","205007_s_at","CIB2","calcium and integrin binding family member 2","10518",-0.697661373620006,9.73934870272484,-4.83403582635551,0.000324112655003415,0.0412949976012404,0.516240014695011
"209034_at","209034_at","PNRC1","proline rich nuclear receptor coactivator 1","10957",-0.437545666353559,14.8310511710859,-4.82918941149117,0.000326939302880115,0.0413774381725074,0.5081590067228
"208747_s_at","208747_s_at","C1S","complement C1s","716",-0.872042700464322,12.4558074889905,-4.801647958859,0.000343496979189322,0.0425025454941208,0.462171583524951
"213078_x_at","213078_x_at","LPCAT4","lysophosphatidylcholine acyltransferase 4","254531",-1.41155551369189,8.51139815635613,-4.79907553447319,0.000345087393950368,0.0425025454941208,0.457870708550173
"218148_at","218148_at","CENPT","centromere protein T","80152",-1.56430555997463,8.92051341659876,-4.79479925023232,0.000347748193283459,0.0425025454941208,0.450719029189047
"200818_at","200818_at","ATP5PO","ATP synthase peripheral stalk subunit OSCP","539",0.408360480121914,16.4093446267521,4.78968915925878,0.000350955803481198,0.0425025454941208,0.442169459434348
"203437_at","203437_at","TMEM11","transmembrane protein 11","8834",0.610018820192236,12.4451446335062,4.78336514746254,0.000354968028796846,0.0425025454941208,0.431583748760537
"211150_s_at","211150_s_at","DLAT","dihydrolipoamide S-acetyltransferase","1737",0.418823351290827,12.9356997534812,4.7826841543681,0.000355402914809786,0.0425025454941208,0.430443500144352
