"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206078_at","206078_at","KALRN","kalirin RhoGEF kinase","8997",0.731996717556383,11.7498211790584,6.70693613011412,1.47488344941265e-05,0.0171525116808923,3.34753759546244
"212217_at","212217_at","PREPL","prolyl endopeptidase like","9581",-0.712971980120809,12.1199076142674,-6.69338109479819,1.50578154445127e-05,0.0171525116808923,3.32901270034343
"203675_at","203675_at","NUCB2","nucleobindin 2","4925",-0.663072730492969,11.1964456761646,-6.66061144582647,1.58334034441022e-05,0.0171525116808923,3.28410553572704
"214764_at","214764_at","RRP15","ribosomal RNA processing 15 homolog","51018",-0.612819472368944,10.8961398007218,-6.57911291871543,1.79512268171731e-05,0.0171525116808923,3.17166608062173
"212216_at","212216_at","PREPL","prolyl endopeptidase like","9581",-0.868437916914985,11.0209471738343,-6.57428229762994,1.80858071084801e-05,0.0171525116808923,3.16496764491209
"205295_at","205295_at","CKMT2","creatine kinase, mitochondrial 2","1160",0.6369099655277,16.2455120536548,6.56829717671696,1.82540318548627e-05,0.0171525116808923,3.15666304348562
"218012_at","218012_at","TSPYL2","TSPY like 2","64061",-0.915094188171436,10.7137454906709,-6.5576865301286,1.85563434527778e-05,0.0171525116808923,3.14192600682428
"216223_at","216223_at","CPN2","carboxypeptidase N subunit 2","1370",1.09180039228413,8.76873448866472,6.54332351941727,1.89740173461199e-05,0.0171525116808923,3.12194814315091
"210007_s_at","210007_s_at","GPD2","glycerol-3-phosphate dehydrogenase 2","2820",-0.785347585673382,10.1694005073889,-6.48846904347357,2.06628652749217e-05,0.0178301742899597,3.04534023836755
"216080_s_at","216080_s_at","FADS3","fatty acid desaturase 3","3995",-1.18123804919171,10.5098552177928,-6.43212111864495,2.25639570155591e-05,0.0180129269120522,2.96613499103974
"203840_at","203840_at","BLZF1","basic leucine zipper nuclear factor 1","8548",-0.512743164925856,9.59557635343447,-6.4141418458524,2.3208735353854e-05,0.0180129269120522,2.94075318693085
"202866_at","202866_at","DNAJB12","DnaJ heat shock protein family (Hsp40) member B12","54788",-0.503939911076293,11.3447287303415,-6.40022430170876,2.37211953645863e-05,0.0180129269120522,2.92106907891991
"205112_at","205112_at","PLCE1","phospholipase C epsilon 1","51196",-1.17207302153924,9.84407227792437,-6.36507421506284,2.5069367448338e-05,0.018304495063048,2.87121364284323
"214241_at","214241_at","NDUFB8","NADH:ubiquinone oxidoreductase subunit B8","4714",0.641900747567888,12.542816086642,6.31512496913136,2.71259132091816e-05,0.0188840887526585,2.80001897310693
"203725_at","203725_at","GADD45A","growth arrest and DNA damage inducible alpha","1647",-1.29660810403865,11.498654427474,-6.27381964489122,2.8960922293318e-05,0.0188840887526585,2.74083522130394
"213599_at","213599_at","OIP5","Opa interacting protein 5","11339",-0.652772870554337,10.7748918394357,-6.25627283890172,2.97796589841568e-05,0.0188840887526585,2.715608622989
"203267_s_at","203267_s_at","DRG2","developmentally regulated GTP binding protein 2","1819",-1.27837808013853,10.3406113293186,-6.24919459093655,3.01168084589729e-05,0.0188840887526585,2.70541806688364
"211962_s_at","211962_s_at","ZFP36L1","ZFP36 ring finger protein like 1","677",-0.514562246856915,12.5600988635677,-6.21423886744322,3.18418510689068e-05,0.0188840887526585,2.65497137896301
"202158_s_at","202158_s_at","CELF2","CUGBP Elav-like family member 2","10659",-0.58071795015492,11.1336270894155,-6.1978852232568,3.26843768619925e-05,0.0188840887526585,2.63130137963657
"213735_s_at","213735_s_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.526908333569342,16.4886594271721,6.19517379180976,3.2826323685089e-05,0.0188840887526585,2.62737264054472
"202157_s_at","202157_s_at","CELF2","CUGBP Elav-like family member 2","10659",-0.637941684702811,13.0994667903934,-6.14814408875533,3.53945563445639e-05,0.0197316700024721,2.5590360519552
"203156_at","203156_at","AKAP11","A-kinase anchoring protein 11","11215",-0.465274692082611,11.9619816775307,-6.13107302688667,3.63784476446757e-05,0.0197316700024721,2.53414074151967
"210501_x_at","210501_x_at","EIF3K","eukaryotic translation initiation factor 3 subunit K","27335",0.420443493476441,15.3244027817752,6.02545737456504,4.31425358543713e-05,0.0214129112068734,2.37904950330557
"205553_s_at","205553_s_at","CSRP3","cysteine and glycine rich protein 3","8048",0.552378462408758,16.5283513673321,6.02340175135201,4.32866353155798e-05,0.0214129112068734,2.376012673006
"212163_at","212163_at","KIDINS220","kinase D interacting substrate 220","57498",-0.559061794763043,10.7024679791699,-5.9997660762603,4.49803907574276e-05,0.0214129112068734,2.34104494751362
"202236_s_at","202236_s_at","SLC16A1","solute carrier family 16 member 1","6566",0.615128433995823,13.8818284278521,5.99908406939938,4.50302875800124e-05,0.0214129112068734,2.34003458700322
"202770_s_at","202770_s_at","CCNG2","cyclin G2","901",-1.21864841369997,10.2268813382063,-5.99788974310612,4.51178070098471e-05,0.0214129112068734,2.33826506499991
"205738_s_at","205738_s_at","FABP3","fatty acid binding protein 3","2170",0.783835454993223,14.3974478655362,5.9353414683447,4.99610157859688e-05,0.0217682329230578,2.24526440697953
"204629_at","204629_at","PARVB","parvin beta","29780",0.489397525995493,13.4874003130466,5.90628716330402,5.23940408162976e-05,0.0217682329230578,2.20184530824299
"213546_at","213546_at","DKFZP586I1420","uncharacterized protein DKFZp586I1420","222161",-0.563747499546963,11.5628565028993,-5.89613324922692,5.32734661139783e-05,0.0217682329230578,2.18663838072923
"202219_at","202219_at","SLC6A8","solute carrier family 6 member 8","6535",0.459007582816806,13.302911073365,5.89029342986513,5.37862707513446e-05,0.0217682329230578,2.17788472978396
"202343_x_at","202343_x_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.475910414169553,16.1243246522097,5.87198430656126,5.54279556925655e-05,0.0217682329230578,2.150403693142
"222073_at","222073_at","COL4A3","collagen type IV alpha 3 chain","1285",-0.801902292797189,13.2068061099958,-5.86271444632481,5.62791531488481e-05,0.0217682329230578,2.13646907102656
"201141_at","201141_at","GPNMB","glycoprotein nmb","10457",-0.727221219384836,12.6200686495925,-5.85659787081479,5.68483221353158e-05,0.0217682329230578,2.12726677781839
"209211_at","209211_at","KLF5","Kruppel like factor 5","688",-0.685106836102953,9.80008570044033,-5.8522073696992,5.72606037200869e-05,0.0217682329230578,2.12065754056132
"203926_x_at","203926_x_at","ATP5F1D","ATP synthase F1 subunit delta","513",0.878364022834404,12.8511975573306,5.85086013103661,5.73877430731012e-05,0.0217682329230578,2.11862883987346
"206633_at","206633_at","CHRNA1","cholinergic receptor nicotinic alpha 1 subunit","1134",-2.19774373349565,12.0626811035795,-5.84828050517438,5.76320122636086e-05,0.0217682329230578,2.11474355080078
"206844_at","206844_at","FBP2","fructose-bisphosphatase 2","8789",0.901105149110235,14.2983920352044,5.83586550072447,5.88229971267163e-05,0.0217682329230578,2.09602944631251
"215433_at","215433_at","DPY19L1","dpy-19 like C-mannosyltransferase 1","23333",1.19344664928802,7.64759276977925,5.82654450613414,5.97341638238871e-05,0.0217682329230578,2.08196252001835
"200708_at","200708_at","GOT2","glutamic-oxaloacetic transaminase 2","2806",0.631856181093292,15.2769602206654,5.81609724376678,6.07730902297759e-05,0.0217682329230578,2.06617888696052
"218225_at","218225_at","ECSIT","ECSIT signaling integrator","51295",0.421779256786611,12.7530593215417,5.80417431754528,6.1982014924659e-05,0.0217901216912912,2.04814390884844
"215716_s_at","215716_s_at","ATP2B1","ATPase plasma membrane Ca2+ transporting 1","490",-0.6548367376586,11.0569117632455,-5.76616955498227,6.60070967079148e-05,0.0224065723731307,1.99050087614107
"201251_at","201251_at","PKM","pyruvate kinase M1/2","5315",0.665545549351592,16.1974908703705,5.74563126891285,6.82957818934165e-05,0.0224065723731307,1.95925110596024
"212854_x_at","212854_x_at","NBPF1","NBPF member 1","55672",-0.415557277541824,12.6342968020534,-5.74260199108864,6.86403423895419e-05,0.0224065723731307,1.95463609054434
"203339_at","203339_at","SLC25A12","solute carrier family 25 member 12","8604",0.642157981360436,13.7207543569742,5.73801622989238,6.91654218680802e-05,0.0224065723731307,1.94764695531876
"205521_at","205521_at","EXOG","exo/endonuclease G","9941",-0.872013924687117,8.91219675593509,-5.73392925992127,6.96369453231516e-05,0.0224065723731307,1.94141511940778
"221713_s_at","221713_s_at","MAP6D1","MAP6 domain containing 1","79929",0.738689119303805,12.0699255504844,5.70856296651571,7.26400541769621e-05,0.0229833131415908,1.90267522476057
"207606_s_at","207606_s_at","ARHGAP12","Rho GTPase activating protein 12","94134",-0.609863987412787,10.9231285878508,-5.65565407420642,7.93501700584883e-05,0.0246948135801695,1.82153279938052
"216898_s_at","216898_s_at","COL4A3","collagen type IV alpha 3 chain","1285",-0.734793365134646,11.2477360486955,-5.62888312758229,8.29904146123004e-05,0.0250784535259836,1.7803019212841
"214045_at","214045_at","LIAS","lipoic acid synthetase","11019",0.515961069196045,11.3162409525119,5.62720075435147,8.32249563915386e-05,0.0250784535259836,1.77770693387065
"200086_s_at","200086_s_at","COX4I1","cytochrome c oxidase subunit 4I1","1327",0.455485908217032,15.8561919857635,5.58956003109301,8.86585102766917e-05,0.0258940894944788,1.71952716553387
"202788_at","202788_at","MAPKAPK3","MAPK activated protein kinase 3","7867",0.452165964983468,13.9307112515845,5.58955203152374,8.86597038106364e-05,0.0258940894944788,1.71951477640025
"202912_at","202912_at","ADM","adrenomedullin","133",-0.636996692948722,10.8952462650177,-5.56561108949837,9.23083329368153e-05,0.0265512332192803,1.68239022525335
"201740_at","201740_at","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3","4722",0.446901737590435,15.0071925228889,5.5472779033848,9.52086686544841e-05,0.0269247759477272,1.65389851713396
"208717_at","208717_at","OXA1L","OXA1L mitochondrial inner membrane protein","5018",0.4176453012085,14.3499051530844,5.53964911631219,9.64435716627398e-05,0.0269247759477272,1.64202650847555
"208813_at","208813_at","GOT1","glutamic-oxaloacetic transaminase 1","2805",0.598212213201636,15.0368611474731,5.48893314045137,0.000105092096833807,0.0285762403425757,1.56286211770896
"213011_s_at","213011_s_at","TPI1","triosephosphate isomerase 1","7167",0.556707658966381,16.2147488145699,5.48737903880704,0.000105369617782359,0.0285762403425757,1.56042969754744
"200822_x_at","200822_x_at","TPI1","triosephosphate isomerase 1","7167",0.529558794762043,16.3815393678133,5.47492499451128,0.000107621513610735,0.0287758706251578,1.54092302773545
"208754_s_at","208754_s_at","NAP1L1","nucleosome assembly protein 1 like 1","4673",-0.622785225349759,12.5960767361743,-5.46623759694393,0.000109222164493966,0.0287982440382425,1.52730121492977
"221234_s_at","221234_s_at","BACH2","BTB domain and CNC homolog 2","60468",-0.441695825750479,10.2024637209633,-5.44855889309577,0.000112556997120835,0.0289159727519614,1.49954351419794
"218024_at","218024_at","MPC1","mitochondrial pyruvate carrier 1","51660",0.728952184942258,14.3518938525564,5.44122918763473,0.000113970773641501,0.0289159727519614,1.4880202404979
"215942_s_at","215942_s_at","GTSE1","G2 and S-phase expressed 1","51512",1.65445700510856,9.24191685997055,5.43614611429707,0.000114962130063241,0.0289159727519614,1.48002389927329
"211039_at","211039_at","CHRNA1","cholinergic receptor nicotinic alpha 1 subunit","1134",-1.00227894743649,9.97864747817085,-5.43208140224163,0.000115761374270389,0.0289159727519614,1.47362658612192
"37966_at","37966_at","PARVB","parvin beta","29780",0.431300315455053,12.2686217303432,5.4220051491248,0.000117767873414304,0.0290351338817811,1.45775646884033
"203516_at","203516_at","SNTA1","syntrophin alpha 1","6640",0.558918527528041,14.1528007296871,5.40732160071405,0.000120757304099347,0.0293904700131027,1.43460068451272
"215888_at","215888_at","PDS5B","PDS5 cohesin associated factor B","23047",-0.470717237592511,9.10404568856041,-5.38920364313093,0.000124555861941632,0.0295078404300252,1.40598126508049
"202769_at","202769_at","CCNG2","cyclin G2","901",-1.08064187167745,11.0957761738597,-5.37956942127087,0.000126626512690129,0.0295078404300252,1.39074150294654
"209389_x_at","209389_x_at","DBI","diazepam binding inhibitor, acyl-CoA binding protein","1622",0.562786645826039,13.6266578803173,5.35853875845961,0.000131272783999883,0.0295078404300252,1.35742293486194
"204526_s_at","204526_s_at","TBC1D8","TBC1 domain family member 8","11138",0.534645521835076,13.2432807969854,5.34408799073092,0.000134568579527229,0.0295078404300252,1.33448791835408
"208691_at","208691_at","TFRC","transferrin receptor","7037",1.35181309020072,14.2446684636738,5.34223656459453,0.00013499705325762,0.0295078404300252,1.33154709094313
"221302_at","221302_at","KLF15","Kruppel like factor 15","28999",0.859140062755948,9.52370822583053,5.33277486497243,0.000137209172829755,0.0295078404300252,1.3165095004538
"218592_s_at","218592_s_at","HDHD5","haloacid dehalogenase like hydrolase domain containing 5","27440",0.550692261744862,12.7351936124389,5.33262316159095,0.00013724494814778,0.0295078404300252,1.31626828054261
"219464_at","219464_at","CA14","carbonic anhydrase 14","23632",2.26790924276726,10.0381322981418,5.32750740723842,0.00013845710021721,0.0295078404300252,1.30813170108321
"202698_x_at","202698_x_at","COX4I1","cytochrome c oxidase subunit 4I1","1327",0.411444133658829,16.4032436993128,5.3225694339981,0.000139637758785902,0.0295078404300252,1.30027393858434
"213868_s_at","213868_s_at","DHRS7","dehydrogenase/reductase 7","51635",-1.58833685930471,7.936768118084,-5.31506214624253,0.000141452961911472,0.0295078404300252,1.28832022852596
"209303_at","209303_at","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","4724",0.372649536878741,14.5200283970224,5.31408067240902,0.000141692093436896,0.0295078404300252,1.28675678571478
"209900_s_at","209900_s_at","SLC16A1","solute carrier family 16 member 1","6566",0.605539868494622,12.0522820360226,5.31061960282932,0.000142538748767703,0.0295078404300252,1.28124224150407
"218618_s_at","218618_s_at","FNDC3B","fibronectin type III domain containing 3B","64778",-0.466872159705483,11.5354454122921,-5.30262504674223,0.000144514696836739,0.0295078404300252,1.26849720697706
"204916_at","204916_at","RAMP1","receptor activity modifying protein 1","10267",0.45296445843994,12.8383370364176,5.28239214931237,0.000149644623891874,0.0295078404300252,1.2361964372675
"212919_at","212919_at","DCP2","decapping mRNA 2","167227",-0.593807254510088,11.389241284066,-5.28131225735158,0.000149923723618795,0.0295078404300252,1.23447062669627
"207145_at","207145_at","MSTN","myostatin","2660",-0.900015367076277,10.0752034620832,-5.27716870084819,0.000150999695652399,0.0295078404300252,1.22784696503753
"203752_s_at","203752_s_at","JUND","JunD proto-oncogene, AP-1 transcription factor subunit","3727",0.438368683864496,14.5261993309458,5.25980537037332,0.000155597102677038,0.0295078404300252,1.20006144515313
"213405_at","213405_at","RAB22A","RAB22A, member RAS oncogene family","57403",-0.431609749555374,10.6509570103581,-5.25264193158703,0.000157536259395878,0.0295078404300252,1.18858437383186
"212030_at","212030_at","RBM25","RNA binding motif protein 25","58517",-0.377076907635344,11.3742274515755,-5.24533341617346,0.000159540753170432,0.0295078404300252,1.17686654492918
"202675_at","202675_at","SDHB","succinate dehydrogenase complex iron sulfur subunit B","6390",0.397191044853273,14.2711125081076,5.24476724118606,0.000159697146072072,0.0295078404300252,1.17595843944449
"206029_at","206029_at","ANKRD1","ankyrin repeat domain 1","27063",-1.97573920824596,10.8978941405429,-5.23769389451733,0.000161664564954754,0.0295078404300252,1.16460903647945
"213295_at","213295_at","CYLD","CYLD lysine 63 deubiquitinase","1540",-0.366586332182729,11.4255774781062,-5.2296640252582,0.000163928789079913,0.0295078404300252,1.15171534431367
"215714_s_at","215714_s_at","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4","6597",-1.77029625754526,8.55847310662991,-5.22485129861355,0.000165301728403937,0.0295078404300252,1.14398262378421
"211715_s_at","211715_s_at","BDH1","3-hydroxybutyrate dehydrogenase 1","622",0.734154092800924,10.7928514542856,5.22462766337788,0.000165365816985468,0.0295078404300252,1.14362321555146
"200605_s_at","200605_s_at","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","5573",-0.631598311191199,14.6992161218987,-5.22382017725728,0.000165597439780537,0.0295078404300252,1.14232542476817
"200603_at","200603_at","PRKAR1A","protein kinase cAMP-dependent type I regulatory subunit alpha","5573",-0.647893929681885,14.5104739400739,-5.22131016384884,0.000166319591118574,0.0295078404300252,1.13829068177901
"213800_at","213800_at","CFH","complement factor H","3075",-0.572758900684766,10.6437273568593,-5.2149522314234,0.00016816359099422,0.0295078404300252,1.12806615333412
"204528_s_at","204528_s_at","NAP1L1","nucleosome assembly protein 1 like 1","4673",-0.633678853434334,12.7224049357176,-5.21215726986791,0.000168980968664655,0.0295078404300252,1.12356942558432
"205912_at","205912_at","PNLIP","pancreatic lipase","5406",1.43183847662416,8.0486348625343,5.20928235744679,0.000169826061967381,0.0295078404300252,1.11894279259793
"205520_at","205520_at","STRN","striatin","6801",-1.27160136838388,7.87368132763328,-5.20658012523534,0.000170624423544822,0.0295078404300252,1.11459287796936
"202298_at","202298_at","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1","4694",0.436894970396212,16.1893149646953,5.20610675513783,0.000170764681815662,0.0295078404300252,1.11383075362496
"212435_at","212435_at","TRIM33","tripartite motif containing 33","51592",-0.431365307287956,11.4061648702849,-5.20538473071957,0.000170978847835165,0.0295078404300252,1.11266822918276
"202431_s_at","202431_s_at","MYC","MYC proto-oncogene, bHLH transcription factor","4609",-1.18782661909555,9.92358046831618,-5.19795658253577,0.000173198548447981,0.0296216328264547,1.10070351246614
"201403_s_at","201403_s_at","MGST3","microsomal glutathione S-transferase 3","4259",0.472846096532194,15.6302083034932,5.19004066045094,0.000175597187758654,0.0297637233250918,1.08794364707772
"208972_s_at","208972_s_at","ATP5MC1","ATP synthase membrane subunit c locus 1","516",0.597586224811655,14.0677096683522,5.18456575356642,0.00017727645497645,0.0297824444360436,1.07911279800955
"201711_x_at","201711_x_at","RANBP2","RAN binding protein 2","5903",-0.419971696936818,12.1511197697782,-5.15280220579255,0.000187355818418516,0.0311797611005287,1.02778723129537
"207675_x_at","207675_x_at","ARTN","artemin","9048",0.630204940699143,9.63670872867324,5.1481589468568,0.00018887866237678,0.0311797611005287,1.02027124080101
"209814_at","209814_at","ZNF330","zinc finger protein 330","27309",-0.371230226674406,13.0724199497226,-5.13225073864866,0.000194194831990161,0.0316498092352464,0.994495510521046
"207432_at","207432_at","BEST2","bestrophin 2","54831",0.937589221074418,9.39450833630764,5.12956254817703,0.000195108491204046,0.0316498092352464,0.990136030278384
"200818_at","200818_at","ATP5PO","ATP synthase peripheral stalk subunit OSCP","539",0.412072357674177,16.338343223454,5.12483079004269,0.000196727638525025,0.0316498092352464,0.982459755463446
"204435_at","204435_at","NUP58","nucleoporin 58","9818",-0.470247013724903,10.6813123740503,-5.1172318986295,0.000199357309679122,0.0318033543441046,0.970124940671533
"203683_s_at","203683_s_at","VEGFB","vascular endothelial growth factor B","7423",0.574183422498859,12.0450993286452,5.09726851492193,0.0002064422062688,0.0324302815158876,0.937677262739649
"214730_s_at","214730_s_at","GLG1","golgi glycoprotein 1","2734",-0.4647979188537,13.0441483100977,-5.09212137711092,0.000208311189389533,0.0324302815158876,0.929301386653744
"201597_at","201597_at","COX7A2","cytochrome c oxidase subunit 7A2","1347",0.437567528990705,14.2638152063155,5.08143479994177,0.000212248235601782,0.0324302815158876,0.911898280127788
"206603_at","206603_at","SLC2A4","solute carrier family 2 member 4","6517",0.766597252050802,10.6152825232357,5.079089677612,0.00021312254927907,0.0324302815158876,0.908076905689286
"218007_s_at","218007_s_at","RPS27L","ribosomal protein S27 like","51065",-0.464366230197685,14.0862263614488,-5.07838570265338,0.000213385739776753,0.0324302815158876,0.906929615051075
"204009_s_at","204009_s_at","KRAS","KRAS proto-oncogene, GTPase","3845",-0.362315134918839,12.0361093942467,-5.07104083861465,0.000216152036997864,0.0324302815158876,0.89495493548775
"203404_at","203404_at","ARMCX2","armadillo repeat containing X-linked 2","9823",-0.390346911774092,10.3082128861442,-5.06933807879961,0.00021679867604931,0.0324302815158876,0.892177668805966
"212716_s_at","212716_s_at","EIF3K","eukaryotic translation initiation factor 3 subunit K","27335",0.377297206403052,15.5718750650678,5.05936073086796,0.00022062846140194,0.0324302815158876,0.875895340446317
"219144_at","219144_at","DUSP26","dual specificity phosphatase 26","78986",0.461189136286844,14.1898185584075,5.05886803537738,0.000220819401292313,0.0324302815158876,0.875090902908662
"205636_at","205636_at","SH3GL3","SH3 domain containing GRB2 like 3, endophilin A3","6457",0.390832193844547,9.86059220582238,5.05767629004641,0.000221281965282814,0.0324302815158876,0.87314495447593
"201560_at","201560_at","CLIC4","chloride intracellular channel 4","25932",-0.63017430205945,11.7241548736827,-5.05059850709539,0.000224050050652104,0.0324302815158876,0.861583498792948
"218002_s_at","218002_s_at","CXCL14","C-X-C motif chemokine ligand 14","9547",-0.74748630411281,12.3076708782522,-5.04762952103214,0.000225221941174926,0.0324302815158876,0.856731434019887
"205902_at","205902_at","KCNN3","potassium calcium-activated channel subfamily N member 3","3782",-1.538318663598,7.84007962305594,-5.04499748988296,0.000226266180168596,0.0324302815158876,0.852428917208061
"212582_at","212582_at","OSBPL8","oxysterol binding protein like 8","114882",-0.603555132894089,12.2507200053736,-5.04264622425057,0.000227203299705702,0.0324302815158876,0.848584470774997
"201037_at","201037_at","PFKP","phosphofructokinase, platelet","5214",-0.822055987883395,10.759607010827,-5.02696260617323,0.000233558649034621,0.03306009321328,0.822919449099946
"216793_x_at","216793_x_at","LOC100289518","immunoglobin superfamily member 21 pseudogene","100289518",0.695198714823714,8.00293506193862,5.02322924750775,0.000235098640107079,0.03306009321328,0.816804606613438
"202787_s_at","202787_s_at","MAPKAPK3","MAPK activated protein kinase 3","7867",0.377741195243351,12.7931758362758,5.01273291014503,0.000239485336893004,0.033311120777662,0.799601436818289
"219426_at","219426_at","AGO3","argonaute RISC catalytic component 3","192669",-0.380565295866676,10.3558123892759,-5.01058578099999,0.000240393149312036,0.033311120777662,0.796080309191138
"202825_at","202825_at","SLC25A4","solute carrier family 25 member 4","291",0.479467840421702,16.5353360642222,5.0009522950039,0.000244510608839789,0.0335195053866625,0.780273572674015
"217860_at","217860_at","NDUFA10","NADH:ubiquinone oxidoreductase subunit A10","4705",0.405275463669533,14.3935644407329,4.99882821247805,0.000245428321151816,0.0335195053866625,0.776786472246731
"205633_s_at","205633_s_at","ALAS1","5'-aminolevulinate synthase 1","211",0.699610953018082,13.033795805866,4.96212460327019,0.000261866199721586,0.0355090566822471,0.716423299623618
"207332_s_at","207332_s_at","TFRC","transferrin receptor","7037",1.36375946973687,13.3861510385842,4.93928322178233,0.000272671572026886,0.0367120363358752,0.678756495649318
"206839_at","206839_at","C22orf31","chromosome 22 open reading frame 31","25770",0.63731247857584,9.90587120270956,4.92628369350531,0.000279027647367635,0.0373032454762478,0.657284883259788
"221879_at","221879_at","CALML4","calmodulin like 4","91860",-1.96136144160945,7.80587916898535,-4.91438001484355,0.000284983343303794,0.037653805571862,0.637601371490181
"209374_s_at","209374_s_at","IGHM","immunoglobulin heavy constant mu","3507",0.74846261332902,8.60908201318533,4.91052364659121,0.000286941055676881,0.037653805571862,0.631220126797789
"221473_x_at","221473_x_at","SERINC3","serine incorporator 3","10955",-0.509289667097516,12.6113975394152,-4.90320916173659,0.000290692886114722,0.037653805571862,0.619110614585275
"209003_at","209003_at","SLC25A11","solute carrier family 25 member 11","8402",0.468865437952706,14.4644007507047,4.90236106151523,0.000291131197348204,0.037653805571862,0.617706030670013
"203997_at","203997_at","PTPN3","protein tyrosine phosphatase non-receptor type 3","5774",0.610389863696444,13.8761942697653,4.90151898109139,0.000291567078543179,0.037653805571862,0.616311311760829
"214257_s_at","214257_s_at","SEC22B","SEC22 homolog B, vesicle trafficking protein","9554",-0.39610959988814,11.9688159657697,-4.89279642968052,0.000296122271563518,0.0379473446022349,0.601858213719013
"205478_at","205478_at","PPP1R1A","protein phosphatase 1 regulatory inhibitor subunit 1A","5502",0.578248640202638,16.0576615653989,4.88954745130031,0.000297837881675779,0.0379473446022349,0.596471864081407
"204323_x_at","204323_x_at","NF1","neurofibromin 1","4763",-1.03896563961812,8.37319652431415,-4.8832079575891,0.000301215295029033,0.0381218077388745,0.58595741841826
"209615_s_at","209615_s_at","PAK1","p21 (RAC1) activated kinase 1","5058",-0.729078908191317,9.7078596431131,-4.87940024134313,0.000303263033315124,0.0381267908904259,0.579639254550228
"202235_at","202235_at","SLC16A1","solute carrier family 16 member 1","6566",0.589386031651696,11.1303576998992,4.85977351014815,0.000314050347460249,0.0392232355012195,0.547038926019419
"206353_at","206353_at","COX6A2","cytochrome c oxidase subunit 6A2","1339",0.699460843161852,16.4359138951434,4.85051299391803,0.000319278120619833,0.0396155283780844,0.531637574640409
"218866_s_at","218866_s_at","POLR3K","RNA polymerase III subunit K","51728",0.376754476242613,11.7696382960962,4.83892630633926,0.000325946912983077,0.0401803649095503,0.512349996347791
"206574_s_at","206574_s_at","PTP4A3","protein tyrosine phosphatase 4A3","11156",0.507182346858837,15.0064488621455,4.82929062190064,0.000331603150292454,0.0402913381540259,0.496295327421888
"201600_at","201600_at","PHB2","prohibitin 2","11331",0.362830830358183,15.7206032018353,4.82613609998442,0.00033347699955067,0.0402913381540259,0.491036451720939
"201119_s_at","201119_s_at","COX8A","cytochrome c oxidase subunit 8A","1351",0.440195235400953,16.328404620631,4.82026389860261,0.00033699460776546,0.0402913381540259,0.481243137216978
