"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"140606_at","140606_at","140606","SELENOM","selenoprotein M",-0.3448099114,6.4884902753,-5.0243579639545,3.67227309799931e-05,0.0143555831023485,2.30607779723645
"2487_at","2487_at","2487","FRZB","frizzled related protein",0.853095156099999,6.72995639995,5.00027396260188,3.90614618607517e-05,0.0143555831023485,2.24972530817157
"3912_at","3912_at","3912","LAMB1","laminin subunit beta 1",0.426597672700002,7.3350279465,4.99666705611477,3.94243918651719e-05,0.0143555831023485,2.24128333502889
"124790_at","124790_at","124790","HEXIM2","HEXIM P-TEFb complex subunit 2",0.357337707599999,6.4261696686,4.9871213057775,4.04013411597456e-05,0.0143555831023485,2.21893851671967
"57381_at","57381_at","57381","RHOJ","ras homolog family member J",0.311320614699996,7.2099469991,4.97476252884067,4.1702439127444e-05,0.0143555831023485,2.19000264648636
"64328_at","64328_at","64328","XPO4","exportin 4",-0.37948184305,9.527700142475,-4.97373138582572,4.18128807361774e-05,0.0143555831023485,2.18758809408553
"80243_at","80243_at","80243","PREX2","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",0.265607552600001,6.65482526825,4.96745482117434,4.24915096289621e-05,0.0143555831023485,2.17288968886201
"8237_at","8237_at","8237","USP11","ubiquitin specific peptidase 11",-0.193569435300001,7.36451997995,-4.95126192692917,4.42938769834329e-05,0.0143555831023485,2.13496127071287
"767_at","767_at","767","CA8","carbonic anhydrase 8",0.29798219185,4.257182648125,4.95004555176373,4.44323302710261e-05,0.0143555831023485,2.13211171079717
"79772_at","79772_at","79772","MCTP1","multiple C2 and transmembrane domain containing 1",0.354706118250001,5.417587537425,4.92374806322109,4.75343122323565e-05,0.0143555831023485,2.07049034794209
"8553_at","8553_at","8553","BHLHE40","basic helix-loop-helix family member e40",0.304098257049999,8.502808099425,4.92326954820109,4.75927280361599e-05,0.0143555831023485,2.06936880970192
"84282_at","84282_at","84282","RNF135","ring finger protein 135",0.23254843995,5.631289401475,4.9212817305717,4.78361684927967e-05,0.0143555831023485,2.06470968678585
"54567_at","54567_at","54567","DLL4","delta like canonical Notch ligand 4",0.3854140732,6.21410235685,4.91292360166922,4.88735207012915e-05,0.0143555831023485,2.04511787584098
"3909_at","3909_at","3909","LAMA3","laminin subunit alpha 3",0.28381255775,4.621170635925,4.89680502768434,5.09382908746981e-05,0.0143555831023485,2.00732763595507
"115265_at","115265_at","115265","DDIT4L","DNA damage inducible transcript 4 like",0.435633719649999,9.495408797775,4.88255019787473,5.28372107028094e-05,0.0143555831023485,1.97389891212671
"6591_at","6591_at","6591","SNAI2","snail family transcriptional repressor 2",0.313082164349995,7.106238646525,4.88039815832912,5.31300012339479e-05,0.0143555831023485,1.96885156917636
"9708_at","9708_at","9708","PCDHGA8","protocadherin gamma subfamily A, 8",-0.455237533650001,5.424630334325,-4.87626986131784,5.36962345866593e-05,0.0143555831023485,1.95916870025084
"55466_at","55466_at","55466","DNAJA4","DnaJ heat shock protein family (Hsp40) member A4",-0.285027345199998,8.32922912545,-4.87571552634074,5.3772726667744e-05,0.0143555831023485,1.95786846895209
"10160_at","10160_at","10160","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1",0.237254643199997,6.30078168775,4.87452654611168,5.393716194524e-05,0.0143555831023485,1.95507959685362
"6343_at","6343_at","6343","SCT","secretin",0.308295438600001,5.3990696841,4.86233828728448,5.56521818429448e-05,0.0144780704275491,1.92648801287738
"2771_at","2771_at","2771","GNAI2","G protein subunit alpha i2",0.239484847350003,7.654863514725,4.85652341955208,5.64895811479518e-05,0.0144780704275491,1.91284555767292
"408_at","408_at","408","ARRB1","arrestin beta 1",0.262071179300003,6.84518344355,4.79561265931482,6.60588913429682e-05,0.0162757604089676,1.76987817702636
"3563_at","3563_at","3563","IL3RA","interleukin 3 receptor subunit alpha",0.372067722300001,4.6116403405,4.79068468669865,6.69007950529725e-05,0.0162757604089676,1.75830686197429
"7306_at","7306_at","7306","TYRP1","tyrosinase related protein 1",-0.457234597599999,3.98096839315,-4.78992420441185,6.7031672204563e-05,0.0162757604089676,1.75652112686038
"6641_at","6641_at","6641","SNTB1","syntrophin beta 1",0.22418031885,7.672325503675,4.77183257434216,7.02220443215498e-05,0.0167564326450043,1.71403483659714
"4015_at","4015_at","4015","LOX","lysyl oxidase",0.538174979550001,3.810281859525,4.76511641253602,7.14447795725117e-05,0.016759249987857,1.69826065475912
"84529_at","84529_at","84529","CDIN1","CDAN1 interacting nuclease 1",0.342501382499997,8.273354143,4.74761697131042,7.47318989337976e-05,0.0172381580207293,1.65715519448158
"100033432_at","100033432_at","100033432","SNORD116-21","small nucleolar RNA, C/D box 116-21",-0.4700643568,8.52087336015,-4.72530989120004,7.91427837936419e-05,0.0179563299623607,1.60474774412707
"23328_at","23328_at","23328","SASH1","SAM and SH3 domain containing 1",0.265914942849999,7.043809708975,4.70732639104213,8.28879549541127e-05,0.0185027305897568,1.56249139285094
"27231_at","27231_at","27231","NMRK2","nicotinamide riboside kinase 2",0.515586619500004,8.87408524985,4.70093882662816,8.42605040680016e-05,0.0185105615285895,1.54748108070028
"220441_at","220441_at","220441","RNF152","ring finger protein 152",0.30032732935,5.448916697825,4.69031973174331,8.65928780300239e-05,0.0186750243841884,1.52252563522779
"80311_at","80311_at","80311","KLHL15","kelch like family member 15",-0.212655804249997,5.508967350975,-4.68534416017754,8.77078457349889e-05,0.0186750243841884,1.51083223036115
"168507_at","168507_at","168507","PKD1L1","polycystin 1 like 1, transient receptor potential channel interacting",0.280818570950003,5.873045689375,4.65551824205898,9.46993600078683e-05,0.0197096154689213,1.44073013717845
"80000_at","80000_at","80000","GREB1L","GREB1 like retinoic acid receptor coactivator",-0.24457175675,6.235668802925,-4.64248389275201,9.79273708070382e-05,0.0197096154689213,1.41009166964092
"2328_at","2328_at","2328","FMO3","flavin containing dimethylaniline monoxygenase 3",0.483522698399999,5.8513097482,4.63828974864958,9.89893051289965e-05,0.0197096154689213,1.4002326382129
"55959_at","55959_at","55959","SULF2","sulfatase 2",0.28012287585,6.611509529725,4.63448952004113,9.99614484837719e-05,0.0197096154689213,1.3912994575027
"153579_at","153579_at","153579","BTNL9","butyrophilin like 9",0.347473094699998,7.2869687886,4.63079862815844,0.000100914764868817,0.0197096154689213,1.3826231980092
"24144_at","24144_at","24144","TFIP11","tuftelin interacting protein 11",0.268082237700003,6.3078276177,4.63004141340363,0.000101111466639697,0.0197096154689213,1.3808431857477
"127294_at","127294_at","127294","MYOM3","myomesin 3",-0.364042913200002,8.66862208575,-4.60808014161985,0.00010698629090185,0.0201910868726374,1.3292166503972
"152273_at","152273_at","152273","FGD5","FYVE, RhoGEF and PH domain containing 5",0.340184588299998,4.9195702765,4.60648557676698,0.000107425912251409,0.0201910868726374,1.325468064541
"729359_at","729359_at","729359","PLIN4","perilipin 4",-0.3802664394,8.4922731125,-4.60456388552857,0.000107958123451963,0.0201910868726374,1.32095044141803
"57519_at","57519_at","57519","STARD9","StAR related lipid transfer domain containing 9",0.25607112055,5.375220931525,4.58660528733425,0.000113060963649399,0.0206407253984417,1.27873187859828
"3910_at","3910_at","3910","LAMA4","laminin subunit alpha 4",0.376148015949999,6.807543478375,4.58562953911329,0.000113345023864275,0.0206407253984417,1.27643799361969
"2537_at","2537_at","2537","IFI6","interferon alpha inducible protein 6",0.270167604999999,6.22886755695,4.5634148607857,0.000120008739028232,0.0215260077626237,1.2242135719979
"23331_at","23331_at","23331","TTC28","tetratricopeptide repeat domain 28",0.190852554849998,6.427094097775,4.55439782562936,0.000122824015777151,0.0215260077626237,1.20301566257235
"183_at","183_at","183","AGT","angiotensinogen",-0.205878763649998,6.771768496825,-4.55424453119581,0.000122872443153705,0.0215260077626237,1.20265528875323
"126626_at","126626_at","126626","GABPB2","GA binding protein transcription factor subunit beta 2",-0.201078468750001,6.284268879125,-4.53726198507947,0.000128357256557002,0.0222058053843613,1.16273227435077
"6507_at","6507_at","6507","SLC1A3","solute carrier family 1 member 3",-0.29750522545,6.418112725875,-4.53000063455849,0.000130776456918858,0.0223450143673703,1.14566254674861
"1580_at","1580_at","1580","CYP4B1","cytochrome P450 family 4 subfamily B member 1",-0.404064795249999,6.312467944325,-4.51689984058248,0.000135256907853414,0.0228287268864786,1.11486655437069
"128553_at","128553_at","128553","TSHZ2","teashirt zinc finger homeobox 2",0.291053575749999,5.398691485925,4.51021438429932,0.000137602067086328,0.0229447302225877,1.09915159691483
"2152_at","2152_at","2152","F3","coagulation factor III, tissue factor",0.248006844550001,4.591854278925,4.50482077775463,0.000139523620709054,0.0229881775073013,1.08647357896649
"27122_at","27122_at","27122","DKK3","dickkopf WNT signaling pathway inhibitor 3",0.229867291350002,5.711745684975,4.49134231418241,0.000144443457782473,0.0235187935965815,1.05479287748506
"23194_at","23194_at","23194","FBXL7","F-box and leucine rich repeat protein 7",0.27436779195,5.102217643525,4.48637436342365,0.000146300187950183,0.0235441232701225,1.04311638079102
"6624_at","6624_at","6624","FSCN1","fascin actin-bundling protein 1",0.3661187254,5.9183849041,4.46803710903771,0.000153362176998005,0.0242657122104043,1.00001989496581
"114327_at","114327_at","114327","EFHC1","EF-hand domain containing 1",0.249698702400001,4.61515742235,4.4604399791437,0.000156386684435348,0.0242657122104043,0.982166414937454
"56105_at","56105_at","56105","PCDHGA11","protocadherin gamma subfamily A, 11",-0.345397358149999,5.755638583825,-4.45839098310959,0.000157212554310663,0.0242657122104043,0.97735136735091
"140576_at","140576_at","140576","S100A16","S100 calcium binding protein A16",0.262051294850001,5.887395506525,4.45694679741668,0.000157797261483843,0.0242657122104043,0.973957637102068
"5213_at","5213_at","5213","PFKM","phosphofructokinase, muscle",0.191763633500001,11.02681660925,4.44635277913343,0.000162153300444741,0.0246615569028046,0.949063538095144
"27436_at","27436_at","27436","EML4","EMAP like 4",0.280968934049999,5.949222404625,4.42919306493333,0.000169464887211991,0.0254934134675431,0.908745495526992
"55711_at","55711_at","55711","FAR2","fatty acyl-CoA reductase 2",0.218119269850003,4.690611715825,4.41907516894046,0.0001739291328341,0.0255530287246151,0.88497546938756
"7991_at","7991_at","7991","TUSC3","tumor suppressor candidate 3",0.3517260672,6.1146604065,4.41395847126791,0.000176231177903343,0.0255530287246151,0.872955615598555
"79589_at","79589_at","79589","RNF128","ring finger protein 128",-0.224220145449999,6.268411261325,-4.4108963514645,0.000177623351959707,0.0255530287246151,0.865762536422314
"25825_at","25825_at","25825","BACE2","beta-secretase 2",0.2100517833,5.96704978965,4.40558542567819,0.000180063974403654,0.0255530287246151,0.853287401817483
"54739_at","54739_at","54739","XAF1","XIAP associated factor 1",0.274432315199998,7.34336011005,4.4024985427369,0.000181497872828909,0.0255530287246151,0.846036750150919
"11067_at","11067_at","11067","DEPP1","DEPP1 autophagy regulator",0.38224397995,6.083042648575,4.39973045296419,0.000182793362163434,0.0255530287246151,0.83953509205298
"57556_at","57556_at","57556","SEMA6A","semaphorin 6A",0.34716433635,5.875014848275,4.39675928822535,0.000184194147575061,0.0255530287246151,0.832556660888625
"5315_at","5315_at","5315","PKM","pyruvate kinase M1/2",0.271918626500002,11.18543593625,4.39583580035182,0.00018463171043797,0.0255530287246151,0.830387691600501
"55504_at","55504_at","55504","TNFRSF19","TNF receptor superfamily member 19",0.30719832515,4.542814912425,4.38732947087897,0.000188711164845795,0.0258590348659981,0.810410131891181
"5019_at","5019_at","5019","OXCT1","3-oxoacid CoA-transferase 1",-0.4751901497,6.35230905015,-4.37175040802423,0.000196416786266621,0.026165116670652,0.773826838648684
"115207_at","115207_at","115207","KCTD12","potassium channel tetramerization domain containing 12",0.2632927001,6.8081823315,4.3676055475407,0.000198519154948828,0.026165116670652,0.764094867989698
"8751_at","8751_at","8751","ADAM15","ADAM metallopeptidase domain 15",0.235813642850001,6.505153267825,4.36092140256653,0.000201956820078005,0.026165116670652,0.748401806227271
"131377_at","131377_at","131377","KLHL40","kelch like family member 40",-0.288369408649995,8.535491973825,-4.36045440726553,0.000202199200181318,0.026165116670652,0.747305442173373
"23452_at","23452_at","23452","ANGPTL2","angiopoietin like 2",0.434726395949999,7.345070667575,4.35969882454327,0.000202591976711797,0.026165116670652,0.745531575759184
"1948_at","1948_at","1948","EFNB2","ephrin B2",0.274521116700001,5.9768814172,4.35369518640807,0.00020573998588769,0.026165116670652,0.731437569263194
"64855_at","64855_at","64855","NIBAN2","niban apoptosis regulator 2",0.346289958900003,5.2421161789,4.35312573671682,0.000206041094208408,0.026165116670652,0.730100799253981
"135112_at","135112_at","135112","NCOA7","nuclear receptor coactivator 7",0.2447762571,5.6691058952,4.35307262741386,0.000206069199212505,0.026165116670652,0.729976126902653
"54538_at","54538_at","54538","ROBO4","roundabout guidance receptor 4",0.254571861099999,6.2009779386,4.34949886536892,0.000207969201128605,0.0261663067601808,0.721587039370703
"5175_at","5175_at","5175","PECAM1","platelet and endothelial cell adhesion molecule 1",0.363154330899998,7.7531686415,4.34239702546055,0.000211796838682523,0.0264078220483435,0.704917304942136
"8322_at","8322_at","8322","FZD4","frizzled class receptor 4",0.230753206700006,7.09444936615,4.33229211972856,0.000217364200539267,0.026699777302551,0.681201491943248
"9211_at","9211_at","9211","LGI1","leucine rich glioma inactivated 1",-0.547813003500001,6.2641680841,-4.33116038676321,0.000217996736646551,0.026699777302551,0.678545573166017
"1442_at","1442_at","1442","CSH1","chorionic somatomammotropin hormone 1",-0.366213181799999,5.28216918185,-4.31091708136759,0.000229625401309024,0.0278290397399644,0.631046762080106
"285025_at","285025_at","285025","CCDC141","coiled-coil domain containing 141",-0.3980279826,6.28492250275,-4.3081900216266,0.000231238408243924,0.0278290397399644,0.624649137935995
"25903_at","25903_at","25903","OLFML2B","olfactomedin like 2B",0.533289440499998,5.4603482477,4.29371922596839,0.000239988103056119,0.0286330633301439,0.590705711391716
"5168_at","5168_at","5168","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2",0.331162546350001,6.184212361475,4.28684315065527,0.000244260330172532,0.0287290570683781,0.574579734230116
"29799_at","29799_at","29799","YPEL1","yippee like 1",0.364894117799998,6.67147352715,4.28575347538268,0.000244944272692819,0.0287290570683781,0.572024371088331
"10217_at","10217_at","10217","CTDSPL","CTD small phosphatase like",0.315367103850001,6.770184859375,4.28228876997301,0.000247131599078618,0.0287420279936813,0.563899723828285
"8789_at","8789_at","8789","FBP2","fructose-bisphosphatase 2",0.3593613704,9.6412859086,4.27769970986801,0.000250058675536558,0.0288401005785497,0.553139260899393
"1793_at","1793_at","1793","DOCK1","dedicator of cytokinesis 1",0.2343073818,6.21487019765,4.26953222845991,0.000255353724408914,0.0292074012051188,0.533990295920647
"64420_at","64420_at","64420","SUSD1","sushi domain containing 1",0.282919703149999,4.181147574925,4.2632502991083,0.000259502058734462,0.0294385942039751,0.519264044940319
"26074_at","26074_at","26074","CFAP61","cilia and flagella associated protein 61",-0.556455500449997,6.897141509325,-4.25813808995469,0.000262927341243384,0.029584669941532,0.507281171496296
"2113_at","2113_at","2113","ETS1","ETS proto-oncogene 1, transcription factor",0.273353167600003,7.21118389635,4.24078521651469,0.000274892697684091,0.0306815720640953,0.466615454582499
"79630_at","79630_at","79630","C1orf54","chromosome 1 open reading frame 54",0.248725129499998,3.86296623635,4.23655411713448,0.000277891285875097,0.0307681231720907,0.456702207863093
"3339_at","3339_at","3339","HSPG2","heparan sulfate proteoglycan 2",0.350019966400001,8.04071636225,4.22452253623578,0.000286596828017882,0.0311742054069676,0.428517620981563
"9547_at","9547_at","9547","CXCL14","C-X-C motif chemokine ligand 14",0.296132586450001,8.414166211175,4.22426206607725,0.00028678825858185,0.0311742054069676,0.427907536110858
"7352_at","7352_at","7352","UCP3","uncoupling protein 3",0.365741765499999,9.43979887365,4.22218903614558,0.000288316350584671,0.0311742054069676,0.423052114710106
"23362_at","23362_at","23362","PSD3","pleckstrin and Sec7 domain containing 3",0.235088782100001,3.9753625909,4.20675744969747,0.000299948436035371,0.0321805143777483,0.386915416895012
"8835_at","8835_at","8835","SOCS2","suppressor of cytokine signaling 2",0.2650125868,4.2263893054,4.20306405144677,0.000302800868087842,0.0322366462641211,0.378268309552746
"639_at","639_at","639","PRDM1","PR/SET domain 1",0.28091158185,4.267556687175,4.1977102778601,0.000306983492113684,0.0324324544339953,0.365735179392681
"7060_at","7060_at","7060","THBS4","thrombospondin 4",0.576432633400002,7.54887599215,4.19346998153305,0.000310336873028842,0.0325383509296907,0.355809797231147
"8436_at","8436_at","8436","CAVIN2","caveolae associated protein 2",0.263357858949999,6.175483160375,4.18607109250593,0.000316275482251881,0.0326664367206732,0.338493393375036
"58480_at","58480_at","58480","RHOU","ras homolog family member U",-0.225391651949996,7.253148094525,-4.18606664725155,0.000316279083856229,0.0326664367206732,0.338482990597224
"9778_at","9778_at","9778","KIAA0232","KIAA0232",-0.168152723099998,7.596271914,-4.17495054553825,0.000325414003671035,0.0333609615615342,0.312472629400615
"400961_at","400961_at","400961","PAIP2B","poly(A) binding protein interacting protein 2B",-0.302442570400002,9.07177852745,-4.16546430398337,0.000333416243063777,0.0339300059117843,0.290281626246954
"116441_at","116441_at","116441","TM4SF18","transmembrane 4 L six family member 18",0.368301665949999,6.620898655975,4.15387661182645,0.000343456473108435,0.0346966247286186,0.263182040628308
"116496_at","116496_at","116496","NIBAN1","niban apoptosis regulator 1",0.342909592999998,7.8920787821,4.15037908074458,0.000346545431766119,0.0347549911278484,0.255004143837757
"4125_at","4125_at","4125","MAN2B1","mannosidase alpha class 2B member 1",0.235201678650001,5.888868781675,4.13815402730859,0.000357560404618144,0.0356016978411159,0.226425648380927
"84441_at","84441_at","84441","MAML2","mastermind like transcriptional coactivator 2",0.243820451799998,6.0007017032,4.12940018620576,0.000365660351797832,0.0361481376348714,0.205967674561384
"23171_at","23171_at","23171","GPD1L","glycerol-3-phosphate dehydrogenase 1 like",-0.199163998549999,9.046161982175,-4.11961077931441,0.000374934091732699,0.0368020413445429,0.183095510502797
"5515_at","5515_at","5515","PPP2CA","protein phosphatase 2 catalytic subunit alpha",-0.239244175700001,8.5574905304,-4.10939868262937,0.000384856696511616,0.0375099766177519,0.159242628401809
"23597_at","23597_at","23597","ACOT9","acyl-CoA thioesterase 9",-0.243394881799999,7.3589472869,-4.10552824521375,0.000388685035952443,0.0376181880949777,0.150204129882221
"79139_at","79139_at","79139","DERL1","derlin 1",-0.319570875600002,8.3368008981,-4.09625901141736,0.000398007506784278,0.0382529437076001,0.128562259535228
"51778_at","51778_at","51778","MYOZ2","myozenin 2",-0.349390403650006,10.046696471275,-4.09238734281959,0.000401966680121412,0.0383670265715886,0.119524460772269
"79733_at","79733_at","79733","E2F8","E2F transcription factor 8",0.315869127349998,7.482889697925,4.07824115689336,0.000416767053332948,0.0395072330008767,0.0865116327551361
"622_at","622_at","622","BDH1","3-hydroxybutyrate dehydrogenase 1",-0.38745544985,5.348444316325,-4.07197304456245,0.00042349635737925,0.0397782852190209,0.0718885045220503
"947_at","947_at","947","CD34","CD34 molecule",0.273852507699999,8.69313405465,4.06905496790968,0.000426665727434554,0.0397782852190209,0.0650818117243439
"221184_at","221184_at","221184","CPNE2","copine 2",0.182275942849997,6.273343384675,4.06760536769367,0.000428248879886858,0.0397782852190209,0.0617007196814949
"4430_at","4430_at","4430","MYO1B","myosin IB",0.3117059399,6.8690464047,4.06355071955887,0.000432708030791069,0.0399245276409893,0.052244381872268
"53353_at","53353_at","53353","LRP1B","LDL receptor related protein 1B",-0.37846217245,4.367768020825,-4.06008897693982,0.000436551474683412,0.0400124000636982,0.0441718262936561
"8987_at","8987_at","8987","STBD1","starch binding domain 1",0.2859303147,4.4685512675,4.05516093034276,0.000442081255927447,0.0402526617239202,0.032681542397242
"8821_at","8821_at","8821","INPP4B","inositol polyphosphate-4-phosphatase type II B",-0.222623835449999,7.814534272375,-4.04885234101012,0.000449261423514538,0.0406390725584392,0.0179751366083538
"89795_at","89795_at","89795","NAV3","neuron navigator 3",0.324591982000001,4.3401881714,4.04432479481741,0.000454485493863974,0.0408446703576454,0.00742258449839639
"7140_at","7140_at","7140","TNNT3","troponin T3, fast skeletal type",0.191766258000007,11.932859912,4.04035694067697,0.000459113157244745,0.0409943619114017,-0.00182412418704025
"23037_at","23037_at","23037","PDZD2","PDZ domain containing 2",0.27061828115,5.648081259725,4.03634355250037,0.000463841345784174,0.0411510527285447,-0.0111756566768797
"286753_at","286753_at","286753","TRARG1","trafficking regulator of GLUT4 (SLC2A4) 1",-0.217388857900001,4.2725936645,-4.02303881143272,0.000479862868569813,0.042300091627653,-0.0421674119267905
"1281_at","1281_at","1281","COL3A1","collagen type III alpha 1 chain",0.733919047699999,6.64322458025,4.01962667485353,0.000484059173432891,0.042300091627653,-0.0501131997993349
"9908_at","9908_at","9908","G3BP2","G3BP stress granule assembly factor 2",-0.173717726749997,8.714355733125,-4.01808903143662,0.00048596203531769,0.042300091627653,-0.0536935660083753
"58494_at","58494_at","58494","JAM2","junctional adhesion molecule 2",0.338075188699996,7.3068831379,4.01030521898513,0.000495708721557188,0.0428399465184474,-0.0718149168703617
"56106_at","56106_at","56106","PCDHGA10","protocadherin gamma subfamily A, 10",-0.299970387899998,6.7562666755,-4.00821808806924,0.000498354869181361,0.0428399465184474,-0.0766730490455503
"84816_at","84816_at","84816","RTN4IP1","reticulon 4 interacting protein 1",-0.28178987135,5.991922270775,-3.99701736572982,0.000512795937184713,0.0437462581684617,-0.102738086962573
"5420_at","5420_at","5420","PODXL","podocalyxin like",0.237999658200001,7.87135329425,3.99516809422047,0.000515219659064975,0.0437462581684617,-0.107040444770202
"55281_at","55281_at","55281","TMEM140","transmembrane protein 140",0.244689279049999,7.368953396075,3.98979566071394,0.000522325370403601,0.043812190885806,-0.119537774687609
"23348_at","23348_at","23348","DOCK9","dedicator of cytokinesis 9",0.273183693499996,7.3361410679,3.98979412133169,0.000522327420242629,0.043812190885806,-0.119541355223626
